gp,postcode,nhs_url
Mere Surgery,BA12 6DT,https://www.nhs.uk/services/gp-surgery/mere-surgery/J83060
Oaklands Surgery,BA21 5RL,https://www.nhs.uk/services/gp-surgery/oaklands-surgery/L85064
The Blackmore Vale Partnership,SP7 8DH,https://www.nhs.uk/services/gp-surgery/the-blackmore-vale-partnership/J81620002
Child Okeford Surgery,DT11 8EF,https://www.nhs.uk/services/gp-surgery/child-okeford-surgery/J81019001
Spa Medical Practice,WR9 8RD,https://www.nhs.uk/services/gp-surgery/spa-medical-practice/M81047
Cookley Surgery,DY10 3TA,https://www.nhs.uk/services/gp-surgery/cookley-surgery/M81068001
Chaddesley Surgery,DY10 4SF,https://www.nhs.uk/services/gp-surgery/chaddesley-surgery/M81090
Lancaster Medical Practice (Galgate site),LA2 0NB,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-galgate-site/P81002008
Lancaster Medical Practice (Lancaster University site),LA1 4ZP,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-lancaster-university-site/P81002006
Silverdale Medical Centre,LE4 8NN,https://www.nhs.uk/services/gp-surgery/silverdale-medical-centre/C82627
Radcliffe-on-Trent. Health Centre,NG12 2GD,https://www.nhs.uk/services/gp-surgery/radcliffe-on-trent-health-centre/C84084
Market Overton & Somerby Surgeries,LE15 7PP,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649
Nhs Yeovil Health Centre,BA20 1LS,https://www.nhs.uk/services/gp-surgery/nhs-yeovil-health-centre/L85064001
Yetminster Medical Centre,DT9 6LG,https://www.nhs.uk/services/gp-surgery/yetminster-medical-centre/J81017
Lancaster Medical Practice (Rosebank site),LA1 4JS,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-rosebank-site/P81002005
Lancaster Medical Practice (Meadowside site),LA1 3AQ,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-meadowside-site/P81002009
"Caton Health Centre, part of Dr J D Marriott and Partners",LA2 9QW,https://www.nhs.uk/services/gp-surgery/caton-health-centre-part-of-dr-j-d-marriott-and-partners/P81013001
The Gamston Medical Ctr.,NG2 6PS,https://www.nhs.uk/services/gp-surgery/the-gamston-medical-ctr/C84703
The Ruddington Med Centre,NG11 6HD,https://www.nhs.uk/services/gp-surgery/the-ruddington-med-centre/C84028
The Welby Practice,NG13 0AN,https://www.nhs.uk/services/gp-surgery/the-welby-practice/C82076
Church House Surgery,NG11 6HF,https://www.nhs.uk/services/gp-surgery/church-house-surgery/C84005001
Bottesford Baptist Church,NG13 0AH,https://www.nhs.uk/services/gp-surgery/bottesford-baptist-church/C82076001
Abbots Bromley Surgery,WS15 3BT,https://www.nhs.uk/services/gp-surgery/abbots-bromley-surgery/M83059
Aelfgar Surgery,WS15 2AB,https://www.nhs.uk/services/gp-surgery/aelfgar-surgery/M83738
Horsefair Practice,WS15 2FH,https://www.nhs.uk/services/gp-surgery/horsefair-practice/M83001
Bradworthy Surgery,EX22 7SY,https://www.nhs.uk/services/gp-surgery/bradworthy-surgery/L83012
Ruby Country Medical Group,EX22 6GH,https://www.nhs.uk/services/gp-surgery/ruby-country-medical-group/L83069
Caton Health Centre,LA2 9QW,https://www.nhs.uk/services/gp-surgery/caton-health-centre/P81013003
Lancaster Medical Practice,LA1 1PN,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice/P81002
Healthub,LA1 1RS,https://www.nhs.uk/services/gp-surgery/healthub/P81013002
Queen Square Medical Practice,LA1 1RP,https://www.nhs.uk/services/gp-surgery/queen-square-medical-practice/P81013
Lancaster Medical Practice (King Street site),LA1 1RE,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-king-street-site/P81002004
Manor Medical Centre,LE4 8EA,https://www.nhs.uk/services/gp-surgery/manor-medical-centre/C82018001
Thurmaston Health Centre,LE4 8EA,https://www.nhs.uk/services/gp-surgery/thurmaston-health-centre/C82678
Horse Fair Practice Group,WS15 2LB,https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group/M83001002
Sandy Lane Surgery,WS15 2LB,https://www.nhs.uk/services/gp-surgery/sandy-lane-surgery/Y02354
Yoxall,DE13 8PD,https://www.nhs.uk/services/gp-surgery/yoxall/M83013
Brereton Surgery,WS15 1DU,https://www.nhs.uk/services/gp-surgery/brereton-surgery/M83703
Hazeldene House Surgery,ST18 0SU,https://www.nhs.uk/services/gp-surgery/hazeldene-house-surgery/M83022
Black Torrington Surgery,EX21 5QE,https://www.nhs.uk/services/gp-surgery/black-torrington-surgery/L83663
Castle Gardens Surgery,EX38 8EU,https://www.nhs.uk/services/gp-surgery/castle-gardens-surgery/L83105
TORRINGTON HEALTH CENTRE,EX38 8EL,https://www.nhs.uk/services/gp-surgery/torrington-health-centre/L83026
Bideford Medical Centre,EX39 3AF,https://www.nhs.uk/services/gp-surgery/bideford-medical-centre/L83083
Wooda Surgery,EX39 4AU,https://www.nhs.uk/services/gp-surgery/wooda-surgery/L83106
Hanley Health & Well Being Centre,ST1 1LW,https://www.nhs.uk/services/gp-surgery/hanley-health-and-well-being-centre/Y02868
Smallthorne Health Centre,ST6 1SA,https://www.nhs.uk/services/gp-surgery/smallthorne-health-centre/M83094001
Vine House Health Centre,WD5 0AL,https://www.nhs.uk/services/gp-surgery/vine-house-health-centre/E82046
Abbotswood Medical Centre,WD5 0BT,https://www.nhs.uk/services/gp-surgery/abbotswood-medical-centre/E82105
Sheepcot Medical Centre,WD25 7NL,https://www.nhs.uk/services/gp-surgery/sheepcot-medical-centre/E82096
Balance Street,ST14 8JG,https://www.nhs.uk/services/gp-surgery/balance-street/M83074
"Horse Fair Practice Group, Armitage Surgery",WS15 4UZ,https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group-armitage-surgery/M83001001
Stratton Medical Centre,EX23 9BP,https://www.nhs.uk/services/gp-surgery/stratton-medical-centre/L82008
Northam Surgery,EX39 1AZ,https://www.nhs.uk/services/gp-surgery/northam-surgery/L83050
Hartland Surgery,EX39 6BL,https://www.nhs.uk/services/gp-surgery/hartland-surgery/L83129
Werrington Village Surgery,ST9 0JS,https://www.nhs.uk/services/gp-surgery/werrington-village-surgery/M83011
Baddeley Green Surgery,ST9 9PB,https://www.nhs.uk/services/gp-surgery/baddeley-green-surgery/M83709
COBRIDGE SURGERY,ST6 2JN,https://www.nhs.uk/services/gp-surgery/cobridge-surgery/M83127
Apsley Surgery,ST6 2JN,https://www.nhs.uk/services/gp-surgery/apsley-surgery/M83627
Norfolk Street Surgery,ST1 4PB,https://www.nhs.uk/services/gp-surgery/norfolk-street-surgery/M83075
North Approach Surgery,WD25 0EL,https://www.nhs.uk/services/gp-surgery/north-approach-surgery/E82013001
Kings Langley Surgery,WD4 8ET,https://www.nhs.uk/services/gp-surgery/kings-langley-surgery/E82129
Haverfield Surgery,WD4 9HA,https://www.nhs.uk/services/gp-surgery/haverfield-surgery/E82066
Garston Medical Centre,WD25 9GP,https://www.nhs.uk/services/gp-surgery/garston-medical-centre/E82017
Bridgewater Surgeries - Garston Clinic,WD24 7RZ,https://www.nhs.uk/services/gp-surgery/bridgewater-surgeries-garston-clinic/Q6K8K
Corbett Medical Practice,WR9 7BE,https://www.nhs.uk/services/gp-surgery/corbett-medical-practice/M81091
Pembroke Road Surgery,BS8 3EU,https://www.nhs.uk/services/gp-surgery/pembroke-road-surgery/L81081
Sea Mills Surgery,BS9 2HL,https://www.nhs.uk/services/gp-surgery/sea-mills-surgery/L81077
East Hill Surgery,CO1 2RW,https://www.nhs.uk/services/gp-surgery/east-hill-surgery/F81091
Colchester Medical Practice,CO1 2QS,https://www.nhs.uk/services/gp-surgery/colchester-medical-practice/F81042
Brook Medical Centre,ST6 7NN,https://www.nhs.uk/services/gp-surgery/brook-medical-centre/M83094
Student Health Services,ST4 2YJ,https://www.nhs.uk/services/gp-surgery/student-health-services/M83076001
Orchard Surgery,ST6 8HY,https://www.nhs.uk/services/gp-surgery/orchard-surgery/M83038
Meridan Surgery,WD25 9UB,https://www.nhs.uk/services/gp-surgery/meridan-surgery/E82013002
Bricket Wood Surgery,AL2 3NF,https://www.nhs.uk/services/gp-surgery/bricket-wood-surgery/E82113001
Whiteladies Medical Group,BS8 2PU,https://www.nhs.uk/services/gp-surgery/whiteladies-medical-group/L81091
Heywood Family Practice,BS20 0DL,https://www.nhs.uk/services/gp-surgery/heywood-family-practice/L81085
Shirehampton Group Practice,BS11 9SB,https://www.nhs.uk/services/gp-surgery/shirehampton-group-practice/L81008
Long Ashton Surgery,BS41 9DY,https://www.nhs.uk/services/gp-surgery/long-ashton-surgery/L81034004
Student Health Service,BS6 6AU,https://www.nhs.uk/services/gp-surgery/student-health-service/L81133
Coach Road Surgery,CO7 8EA,https://www.nhs.uk/services/gp-surgery/coach-road-surgery/F81116001
Hawthorn Surgery,CO4 3GW,https://www.nhs.uk/services/gp-surgery/hawthorn-surgery/F81095003
Parsons Health Medical Practice,CO4 3HS,https://www.nhs.uk/services/gp-surgery/parsons-health-medical-practice/F81042003
Winstree Medical Practice,CO3 0PZ,https://www.nhs.uk/services/gp-surgery/winstree-medical-practice/F81069
Elmstead Surgery,CO7 7AG,https://www.nhs.uk/services/gp-surgery/elmstead-surgery/F81095002
Pritchard Street Branch Surgery,BB2 3PF,https://www.nhs.uk/services/gp-surgery/pritchard-street-branch-surgery/P81160002
Roman Road Health Centre,BB2 3UY,https://www.nhs.uk/services/gp-surgery/roman-road-health-centre/P81709
Whittle Surgery,PR6 7PY,https://www.nhs.uk/services/gp-surgery/whittle-surgery/P81143
Nunwell Surgery,HR7 4BZ,https://www.nhs.uk/services/gp-surgery/nunwell-surgery/M81048
Severn Valley Medical Practice,WR2 5HL,https://www.nhs.uk/services/gp-surgery/severn-valley-medical-practice/M81006
Farrier House Surgery,WR1 3BH,https://www.nhs.uk/services/gp-surgery/farrier-house-surgery/Y04968
The Ross Practice,CM18 6LY,https://www.nhs.uk/services/gp-surgery/the-ross-practice/F81106
The Hamilton Practice,CM18 6LY,https://www.nhs.uk/services/gp-surgery/the-hamilton-practice/F81047
The Writtle Surgery,CM1 3EH,https://www.nhs.uk/services/gp-surgery/the-writtle-surgery/F81098
at Medics,SE28 0NY,https://www.nhs.uk/services/gp-surgery/at-medics/Y02974
Plumstead H/C PMS,SE18 1BB,https://www.nhs.uk/services/gp-surgery/plumstead-h-c-pms/G83019
Conway PMS,SE18 1AH,https://www.nhs.uk/services/gp-surgery/conway-pms/G83633
The Family Practice,BS6 6DF,https://www.nhs.uk/services/gp-surgery/the-family-practice/L81090
Fallodon Way Medical Centre,BS9 4HT,https://www.nhs.uk/services/gp-surgery/fallodon-way-medical-centre/L81131
Gaywood House Surgery,BS3 3AZ,https://www.nhs.uk/services/gp-surgery/gaywood-house-surgery/L81007002
Colne Medical Centre,CO7 0DT,https://www.nhs.uk/services/gp-surgery/colne-medical-centre/F81116
Ambrose Ave Group Practice Branch Surgery,CO3 8NZ,https://www.nhs.uk/services/gp-surgery/ambrose-ave-group-practice-branch-surgery/F81067002
Tollgate Health Centre,CO3 8NZ,https://www.nhs.uk/services/gp-surgery/tollgate-health-centre/F81716
Clayton Brook Surgery,PR5 8ES,https://www.nhs.uk/services/gp-surgery/clayton-brook-surgery/P81180
