gp,nhs_url,postcode,state,url
Pershore Medical Practice,https://www.nhs.uk/services/gp-surgery/pershore-medical-practice/M81074,WR10 1PX,1,http://www.pershoremedicalpractice.co.uk
Riverside Surgery,https://www.nhs.uk/services/gp-surgery/riverside-surgery/M81004,WR11 1JP,1,http://www.riversidesurgery.co.uk
Abbottswood Medical Centre,https://www.nhs.uk/services/gp-surgery/abbottswood-medical-centre/M81046,WR10 1HZ,1,http://www.abbottswoodmedicalcentre.co.uk
Templecombe Surgery,https://www.nhs.uk/services/gp-surgery/templecombe-surgery/L85031001,BA8 0JR,1,http://www.milborneportsurgery.nhs.uk
Milborne Port Surgery,https://www.nhs.uk/services/gp-surgery/milborne-port-surgery/L85031,DT9 5FH,1,http://www.milborneportsurgery.nhs.uk
Wincanton Health Centre,https://www.nhs.uk/services/gp-surgery/wincanton-health-centre/L85027,BA9 9FQ,1,http://www.wincantonhealth.co.uk
Feckenham Surgery,https://www.nhs.uk/services/gp-surgery/feckenham-surgery/M81077001,B96 6HS,0,
The Arrow Surgery,https://www.nhs.uk/services/gp-surgery/the-arrow-surgery/M84060,B49 6QR,1,http://www.thearrowsurgery.nhs.uk
Alcester Health Centre,https://www.nhs.uk/services/gp-surgery/alcester-health-centre/M84049,B49 6QR,1,http://www.alcesterhealthcentre.co.uk
The Blackmore Vale Partnership,,DT10 1PU,,
The Grove Medical Centre,https://www.nhs.uk/services/gp-surgery/the-grove-medical-centre/J81078,DT9 4DL,1,https://www.thegrovemedcentre.co.uk/
The Apples Medical Centre,https://www.nhs.uk/services/gp-surgery/the-apples-medical-centre/J81029,DT9 3DG,1,http://www.sherborneapples.co.uk/
Sherborne School Health Centre,https://www.nhs.uk/services/gp-surgery/sherborne-school-health-centre/J81017001,DT9 3NX,0,
Peacemarsh Surgery,https://www.nhs.uk/services/gp-surgery/peacemarsh-surgery/J81081001,SP8 4FA,1,http://www.gillinghamsurgery.co.uk
The County Practice,https://www.nhs.uk/services/gp-surgery/the-county-practice/C82042,LE7 2EQ,1,http://www.countypracticesyston.nhs.uk
Market Overton and Somerby Surgeries,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649001,LE14 2QF,1,https://marketovertonandsomerbysurgeries.co.uk
The Jubilee Medical Practice,https://www.nhs.uk/services/gp-surgery/the-jubilee-medical-practice/C82078,LE7 2EQ,1,http://www.jubileemedicalpractice.com
The Church Street Practice,https://www.nhs.uk/services/gp-surgery/the-church-street-practice/M81056,DY10 2JG,1,https://www.churchstreetsurgery.co.uk
Silton Surgery,https://www.nhs.uk/services/gp-surgery/silton-surgery/J83629,SP8 5DF,1,https://www.siltonsurgery.nhs.uk/
Gillingham Medical Practice,https://www.nhs.uk/services/gp-surgery/gillingham-medical-practice/J81081,SP8 4XS,1,http://www.gillinghamsurgery.co.uk
Barrow Health Centre,https://www.nhs.uk/services/gp-surgery/barrow-health-centre/C82062,LE12 8PY,1,http://www.barrowhealthcentre.co.uk
Charnwood Surgery,https://www.nhs.uk/services/gp-surgery/charnwood-surgery/C82097,LE12 7DJ,1,http://www.charnwoodsurgery.co.uk
Alpine House Surgery,https://www.nhs.uk/services/gp-surgery/alpine-house-surgery/C82095,LE12 7JU,1,http://www.alpinehousesurgery.co.uk
Quorn Medical Centre,https://www.nhs.uk/services/gp-surgery/quorn-medical-centre/C82034,LE12 8BP,1,http://www.quornmedicalcentre.co.uk/
East Leake,https://www.nhs.uk/services/gp-surgery/east-leake/C84005003,LE12 6PF,0,
Hulton House Surgery,https://www.nhs.uk/services/gp-surgery/hulton-house-surgery/M83123001,ST2 8DA,1,http://www.birchesheadmedicalcentre.co.uk/
Village Health Group,https://www.nhs.uk/services/gp-surgery/village-health-group/C84005,LE12 6JG,1,https://villagehealthgroup.co.uk/
Birches Head Medical Ctr.,https://www.nhs.uk/services/gp-surgery/birches-head-medical-ctr/M83123,ST1 6RS,1,http://www.birchesheadmedicalcentre.co.uk/
Belvoir Health Group,https://www.nhs.uk/services/gp-surgery/belvoir-health-group/C84017,NG13 8FD,1,https://www.belvoirhealthgroup.co.uk
Potteries Medical Centre,https://www.nhs.uk/services/gp-surgery/potteries-medical-centre/M83102,ST2 0JG,0,
Millrise Medical Practice,https://www.nhs.uk/services/gp-surgery/millrise-medical-practice/M83061,ST2 7BW,1,http://www.millrisemedicalpractice.co.uk/
Prima Care Surgeries,https://www.nhs.uk/services/gp-surgery/prima-care-surgeries/M83625002,ST1 2BN,1,http://www.drchadalavadaandpartners.nhs.uk
Rowhedge Surgery,https://www.nhs.uk/services/gp-surgery/rowhedge-surgery/F81141,CO5 7HP,1,https://www.rowhedgesurgery.co.uk
Malting Green Surgery,https://www.nhs.uk/services/gp-surgery/malting-green-surgery/F81069004,CO2 0JJ,1,http://www.winstreemedicalpractice.co.uk/
The Moorcroft Medical Ctr,https://www.nhs.uk/services/gp-surgery/the-moorcroft-medical-ctr/M83146,ST1 3NJ,1,https://www.moorcroftmedical.com
Cambridge House,https://www.nhs.uk/services/gp-surgery/cambridge-house/M83624,ST2 0EU,1,http://www.cambridgehousesurgery.co.uk/
Wivenhoe Surgery,https://www.nhs.uk/services/gp-surgery/wivenhoe-surgery/F81028,CO7 9BA,1,https://www.wivenhoesurgery.nhs.uk
Abbey Field Medical Centre,https://www.nhs.uk/services/gp-surgery/abbey-field-medical-centre/F81095,CO2 7UW,0,
Wimpole Road Surgery,https://www.nhs.uk/services/gp-surgery/wimpole-road-surgery/F81042001,CO1 2DL,1,http://www.colchestermedicalpractice.co.uk
University Health Centre,https://www.nhs.uk/services/gp-surgery/university-health-centre/F81141001,CO4 3SQ,1,https://www.rowhedgesurgery.co.uk
The Ridgeway Surgery,https://www.nhs.uk/services/gp-surgery/the-ridgeway-surgery/M81077,B96 6DS,1,http://www.theridgewaysurgery.co.uk/
Silloth Group Medical Practice,https://www.nhs.uk/services/gp-surgery/silloth-group-medical-practice/A82037,CA7 4AH,1,http://www.sillothgroupmedicalpractice.nhs.uk
The Croft Surgery,https://www.nhs.uk/services/gp-surgery/the-croft-surgery/A82029,CA7 5JH,1,http://www.kirkbridesurgery.org.uk/
Wigton Group Medical Practice,https://www.nhs.uk/services/gp-surgery/wigton-group-medical-practice/A82045,CA7 9QD,1,http://www.wigtonmedicalpractice.co.uk
Moss Green Surgery,https://www.nhs.uk/services/gp-surgery/moss-green-surgery/M83146001,ST2 0EU,0,
Harley Street Medical Ctr,https://www.nhs.uk/services/gp-surgery/harley-street-medical-ctr/M83076,ST1 3RX,1,https://www.harleystreetmedicalpractice.org.uk
Creffield Medical Group,https://www.nhs.uk/services/gp-surgery/creffield-medical-group/F81115,CO2 7GH,1,http://www.creffieldmedicalcentre.nhs.uk
Shrub End Surgery,https://www.nhs.uk/services/gp-surgery/shrub-end-surgery/F81042002,CO3 4RY,1,http://www.colchestermedicalpractice.co.uk/
Ambrose Avenue Group Practice,https://www.nhs.uk/services/gp-surgery/ambrose-avenue-group-practice/F81067,CO3 4LN,1,http://www.ambroseavenue.com
West Mersea Surgery,https://www.nhs.uk/services/gp-surgery/west-mersea-surgery/F81012,CO5 8RA,1,http://www.westmerseasurgery.co.uk/
Aspatria Medical Group,https://www.nhs.uk/services/gp-surgery/aspatria-medical-group/A82055,CA7 3HH,1,http://www.aspatriamedicalgroup.co.uk
Caldbeck Surgery,https://www.nhs.uk/services/gp-surgery/caldbeck-surgery/A82014,CA7 8DS,1,http://www.caldbecksurgery.co.uk
Dalston Medical Group,https://www.nhs.uk/services/gp-surgery/dalston-medical-group/A82022,CA5 7PZ,1,http://www.dalstonmedicalgroup.org.uk
Castlegate and Derwent Surgery,https://www.nhs.uk/services/gp-surgery/castlegate-and-derwent-surgery/A82021,CA13 9HT,1,http://www.castlegateandderwentsurgery.nhs.uk
Maryport Health Services,https://www.nhs.uk/services/gp-surgery/maryport-health-services/A82032,CA15 8EL,0,
Eden Surgery,https://www.nhs.uk/services/gp-surgery/eden-surgery/F81004001,CM22 7HX,1,http://www.hatfieldbroadoaksurgery.co.uk
The Eden Surgeries,https://www.nhs.uk/services/gp-surgery/the-eden-surgeries/F81004,CM22 7EH,1,http://www.hatfieldheathsurgery.co.uk
Ongar Health Centre,https://www.nhs.uk/services/gp-surgery/ongar-health-centre/F81049,CM5 0AL,1,http://www.ongarhealthcentre.co.uk
Lakeside Medical,https://www.nhs.uk/services/gp-surgery/lakeside-medical/G83018,SE2 9LH,1,http://lakesidegpsthamesmead.co.uk
Abbey Wood Surgery,https://www.nhs.uk/services/gp-surgery/abbey-wood-surgery/G83031,SE2 9AT,-1,http://www.abbeywoodsurgery.gpsurgery.net
Abbeyslade Pms (Dr Chand),https://www.nhs.uk/services/gp-surgery/abbeyslade-pms-dr-chand/G83631,SE2 0ER,1,https://www.basildonroadsurgery.co.uk/
Withnell Health Centre,https://www.nhs.uk/services/gp-surgery/withnell-health-centre/P81010,PR6 8UA,-1,http://www.withnellgp.co.uk
Feniscowles Surgery,https://www.nhs.uk/services/gp-surgery/feniscowles-surgery/P81633001,BB2 5EP,0,
Bentham Road Health Centre,https://www.nhs.uk/services/gp-surgery/bentham-road-health-centre/Y02657,BB2 4QD,1,http://www.cornerstonepractice.com
Hollins Grove Surgery,https://www.nhs.uk/services/gp-surgery/hollins-grove-surgery/P81721,BB3 1ET,0,
Kidderminster Medical Centre,https://www.nhs.uk/services/gp-surgery/kidderminster-medical-centre/M81010,DY10 2BG,1,https://www.kidderminstermedicalcentre.co.uk
Stanmore House Surgery,https://www.nhs.uk/services/gp-surgery/stanmore-house-surgery/M81015,DY10 3AA,1,http://www.stanmorehousesurgery.co.uk
Wolverley Surgery,https://www.nhs.uk/services/gp-surgery/wolverley-surgery/M81608,DY11 5TH,1,https://www.wolverleysurgery.co.uk
Morton Surgery,https://www.nhs.uk/services/gp-surgery/morton-surgery/A82654001,CA2 6DT,1,https://www.warwicksquaregrouppractice.co.uk
Central Surgery,https://www.nhs.uk/services/gp-surgery/central-surgery/E82100,CM21 9AQ,1,https://www.centralsurgerysawbo.nhs.uk
Old Harlow Health Centre,https://www.nhs.uk/services/gp-surgery/old-harlow-health-centre/F81056,CM17 0AX,1,http://www.oldharlowhealth.co.uk
Church Langley Medical Practice,https://www.nhs.uk/services/gp-surgery/church-langley-medical-practice/F81078,CM17 9TG,1,http://clmp.co.uk
North Weald Surgery,https://www.nhs.uk/services/gp-surgery/north-weald-surgery/F81043002,CM16 6HZ,1,http://www.thelimesmedicalcentre.com
Gardens and Jacobs Medical Partnership,https://www.nhs.uk/services/gp-surgery/gardens-and-jacobs-medical-partnership/Y01924,CM21 0HH,0,
Gallions Reach Health Centre,https://www.nhs.uk/services/gp-surgery/gallions-reach-health-centre/G83012,SE28 8BE,1,http://www.thamesmeadmedical.org
Bannockburn Surgery,https://www.nhs.uk/services/gp-surgery/bannockburn-surgery/G83654,SE18 1ES,1,http://www.bannockburnsurgery.co.uk
Dr Mostafa M A,https://www.nhs.uk/services/gp-surgery/dr-mostafa-m-a/G83647001,SE2 0NX,1,http://www.drmostafapms.nhs.uk
Belvedere Medical Centre,https://www.nhs.uk/services/gp-surgery/belvedere-medical-centre/G83052,DA17 5LQ,1,http://www.belvederemedicalcentre.co.uk/
Mostafa Pms,https://www.nhs.uk/services/gp-surgery/mostafa-pms/G83647,SE18 1SE,1,http://www.drmostafapms.nhs.uk
Bexley Medical Group,https://www.nhs.uk/services/gp-surgery/bexley-medical-group/G83053,DA7 5RB,1,http://www.bexleymedicalgroup.co.uk
Darwen Healthcare,https://www.nhs.uk/services/gp-surgery/darwen-healthcare/P81051,BB3 1PY,1,http://darwenhealthcare.co.uk/
Darwen Healthlink,https://www.nhs.uk/services/gp-surgery/darwen-healthlink/P81140,BB3 1PY,1,http://darwenhealthlink.nhs.uk
Witton Medical Centre,https://www.nhs.uk/services/gp-surgery/witton-medical-centre/P81022,BB2 2SU,1,http://www.wittonmedicalcentre.nhs.uk
Spring-Fenisco Healthlink,https://www.nhs.uk/services/gp-surgery/spring-fenisco-healthlink/P81633,BB3 1BZ,1,http://www.springfeniscohealthlink.co.uk/
Dr A Alam & Partner,https://www.nhs.uk/services/gp-surgery/dr-a-alam-and-partner/P81683001,BB3 2RJ,-1,http://www.umarmedicalcentre.nhs.uk/
Tenbury Surgery,https://www.nhs.uk/services/gp-surgery/tenbury-surgery/M81042,WR15 8AA,0,
Barbourne Health Centre,https://www.nhs.uk/services/gp-surgery/barbourne-health-centre/M81049,WR3 7LH,1,https://www.barbournehealthcentre.co.uk
Thorneloe Lodge Surgery,https://www.nhs.uk/services/gp-surgery/thorneloe-lodge-surgery/M81037,WR1 1RU,1,https://www.thorneloelodgesurgery.co.uk
Albany House Surgery,https://www.nhs.uk/services/gp-surgery/albany-house-surgery/M81072,WR1 3DU,1,https://www.albanyhousesurgeryworcester.co.uk
St Johns House Surgery,https://www.nhs.uk/services/gp-surgery/st-johns-house-surgery/M81063,WR2 5ER,1,http://www.stjohnshousesurgery.com/
Carterknowle And Dore Medical Practice,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016001,S17 3NF,1,http://www.carterknowlesurgery.co.uk
Avenue Medical Practice,https://www.nhs.uk/services/gp-surgery/avenue-medical-practice/C88015003,S8 7FH,0,
Beauchief Medical Practice,https://www.nhs.uk/services/gp-surgery/beauchief-medical-practice/C88046,S8 0BJ,1,http://www.beauchiefmedicalpractice.nhs.uk
Bidford Health Centre,https://www.nhs.uk/services/gp-surgery/bidford-health-centre/M84018,B50 4LX,1,http://bidfordhc.nhs.uk/
Pool Medical Centre,https://www.nhs.uk/services/gp-surgery/pool-medical-centre/M84002,B80 7QU,1,http://www.poolmedical.nhs.uk
Crabbs Cross Medical Centre,https://www.nhs.uk/services/gp-surgery/crabbs-cross-medical-centre/M81616,B97 5JX,0,
Golden Valley Practice,https://www.nhs.uk/services/gp-surgery/golden-valley-practice/M81009,HR2 0EU,1,http://www.goldenvalleypractice.co.uk
The Surgery Kingstone,https://www.nhs.uk/services/gp-surgery/the-surgery-kingstone/M81067,HR2 9HN,1,http://kingstonesurgery.co.uk
Peterchurch Surgery,https://www.nhs.uk/services/gp-surgery/peterchurch-surgery/M81009001,HR2 0RS,1,https://www.goldenvalleypractice.co.uk
Eden Medical Group,https://www.nhs.uk/services/gp-surgery/eden-medical-group/A82020,CA2 7AJ,0,
Nuffield House Health Centre,https://www.nhs.uk/services/gp-surgery/nuffield-house-health-centre/F81120,CM20 3AX,1,http://www.nuffieldhouse.co.uk/
Sydenham House Surgery,https://www.nhs.uk/services/gp-surgery/sydenham-house-surgery/F81619,CM20 3NT,0,
Station Road Surgery,https://www.nhs.uk/services/gp-surgery/station-road-surgery/G83028002,DA17 6JJ,1,http://www.bexleygrouppractice.co.uk
Redlam Surgery,https://www.nhs.uk/services/gp-surgery/redlam-surgery/P81061,BB2 1UW,1,http://www.redlamsurgery.co.uk
Salters Medical Practice,https://www.nhs.uk/services/gp-surgery/salters-medical-practice/M81034,WR9 8RD,1,https://www.salters.org.uk
Ecclesall Medical Centre,https://www.nhs.uk/services/gp-surgery/ecclesall-medical-centre/C88031001,S11 9JD,1,https://www.upperthorpemedicalcentre.co.uk
Woodseats Medical Centre,https://www.nhs.uk/services/gp-surgery/woodseats-medical-centre/C88041,S8 0SH,1,http://www.woodseatsmedicalcentre.nhs.uk/
Totley Rise Medical Centre,https://www.nhs.uk/services/gp-surgery/totley-rise-medical-centre/D7O7T,S17 4DQ,1,http://www.beauchiefmedicalpractice.nhs.uk
Carterknowle & Dore Medical Practice,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016,S7 2DW,1,https://www.carterknowlesurgery.co.uk
Crabbs Cross Surgery,https://www.nhs.uk/services/gp-surgery/crabbs-cross-surgery/M81617,B97 5JX,0,
Lyppard Grange Medical Centre,https://www.nhs.uk/services/gp-surgery/lyppard-grange-medical-centre/M81006001,WR4 0DZ,1,https://www.severnvalleymedicalpractice.co.uk
The Bridge Surgery,https://www.nhs.uk/services/gp-surgery/the-bridge-surgery/M81092,B97 4LA,1,http://www.thebridgesurgery.co.uk
Elbury Moor Medical Centre,https://www.nhs.uk/services/gp-surgery/elbury-moor-medical-centre/M81017,WR4 9TX,1,https://www.elburymoor.co.uk
St Peter's Surgery,https://www.nhs.uk/services/gp-surgery/st-peter-s-surgery/M81035001,WR5 3TA,1,http://www.stmartinsgatesurgery.co.uk
Much Birch Surgery,https://www.nhs.uk/services/gp-surgery/much-birch-surgery/M81024,HR2 8HT,1,http://www.muchbirchsurgery.co.uk
Belmont Medical Centre,https://www.nhs.uk/services/gp-surgery/belmont-medical-centre/M81093,HR2 7XT,1,http://www.belmontmedicalcentre.co.uk/
Credenhill Surgery,https://www.nhs.uk/services/gp-surgery/credenhill-surgery/M81026008,HR4 7EF,1,https://www.herefordmedicalgroup.co.uk/
Quay House Medical Centre,https://www.nhs.uk/services/gp-surgery/quay-house-medical-centre/M81026005,HR4 0JF,1,https://www.herefordmedicalgroup.co.uk/
Staunton-On-Wye Surgery,https://www.nhs.uk/services/gp-surgery/staunton-on-wye-surgery/M81018001,HR4 7LT,1,http://www.weobleyandstauntonsurgeries.nhs.uk
Queen Camel Medical Centre,https://www.nhs.uk/services/gp-surgery/queen-camel-medical-centre/L85044,BA22 7LT,1,http://www.queencamelmedicalcentre.co.uk
Blackmore Vale Partnership,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620,DT10 1QU,1,http://www.blackmorevalesurgery.co.uk/
"Millbrook Surgery, Castle Cary",https://www.nhs.uk/services/gp-surgery/millbrook-surgery-castle-cary/L85040,BA7 7EE,1,https://www.millbrook-surgery.nhs.uk
"Baslow Rd, Shoreham St & York Rd Srgies",https://www.nhs.uk/services/gp-surgery/baslow-rd-shoreham-st-and-york-rd-srgies/C88037,S17 4DR,0,
Falkland House Surgery,https://www.nhs.uk/services/gp-surgery/falkland-house-surgery/C88053,S11 7PL,1,https://www.falklandhousesurgery.co.uk/
Veritas Health Centre,https://www.nhs.uk/services/gp-surgery/veritas-health-centre/C88631,S8 0RT,0,
Haresfield House Surgery,https://www.nhs.uk/services/gp-surgery/haresfield-house-surgery/M81022,WR5 1HG,0,
South Wye Medical Centre,https://www.nhs.uk/services/gp-surgery/south-wye-medical-centre/M81026007,HR2 7JE,1,https://www.herefordmedicalgroup.co.uk/
Bobblestock Surgery,https://www.nhs.uk/services/gp-surgery/bobblestock-surgery/M81026006,HR4 9LP,1,https://www.herefordmedicalgroup.co.uk/
Bruton Surgery,https://www.nhs.uk/services/gp-surgery/bruton-surgery/L85032,BA10 0EG,1,https://brutonsurgery.nhs.uk/
Mere Surgery,https://www.nhs.uk/services/gp-surgery/mere-surgery/J83060,BA12 6DT,1,http://www.meresurgery.co.uk/index.aspx
Oaklands Surgery,https://www.nhs.uk/services/gp-surgery/oaklands-surgery/L85064,BA21 5RL,1,http://www.oaklandssurgeryyeovil.co.uk/
The Blackmore Vale Partnership,https://www.nhs.uk/services/gp-surgery/the-blackmore-vale-partnership/J81620002,SP7 8DH,1,http://www.blackmorevalesurgery.co.uk/
Child Okeford Surgery,https://www.nhs.uk/services/gp-surgery/child-okeford-surgery/J81019001,DT11 8EF,1,http://www.whitecliffpractice.co.uk
Spa Medical Practice,https://www.nhs.uk/services/gp-surgery/spa-medical-practice/M81047,WR9 8RD,1,https://www.spamedical.co.uk
Cookley Surgery,https://www.nhs.uk/services/gp-surgery/cookley-surgery/M81068001,DY10 3TA,1,http://www.aylmerlodgecookleypartnership.co.uk
Chaddesley Surgery,https://www.nhs.uk/services/gp-surgery/chaddesley-surgery/M81090,DY10 4SF,1,https://chaddesleycorbettsurgery.co.uk/
Lancaster Medical Practice (Galgate site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-galgate-site/P81002008,LA2 0NB,1,https://www.lancastermedicalpractice.co.uk/
Lancaster Medical Practice (Lancaster University site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-lancaster-university-site/P81002006,LA1 4ZP,1,https://www.lancastermedicalpractice.co.uk/
Silverdale Medical Centre,https://www.nhs.uk/services/gp-surgery/silverdale-medical-centre/C82627,LE4 8NN,1,http://www.silverdalemedicalcentre.co.uk
Radcliffe-on-Trent. Health Centre,https://www.nhs.uk/services/gp-surgery/radcliffe-on-trent-health-centre/C84084,NG12 2GD,0,
Market Overton & Somerby Surgeries,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649,LE15 7PP,1,https://marketovertonandsomerbysurgeries.co.uk
Nhs Yeovil Health Centre,https://www.nhs.uk/services/gp-surgery/nhs-yeovil-health-centre/L85064001,BA20 1LS,0,
Yetminster Medical Centre,https://www.nhs.uk/services/gp-surgery/yetminster-medical-centre/J81017,DT9 6LG,1,https://www.yetminsterhc.co.uk
Lancaster Medical Practice (Rosebank site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-rosebank-site/P81002005,LA1 4JS,1,https://www.lancastermedicalpractice.co.uk/
Lancaster Medical Practice (Meadowside site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-meadowside-site/P81002009,LA1 3AQ,1,https://www.lancastermedicalpractice.co.uk/
"Caton Health Centre, part of Dr J D Marriott and Partners",https://www.nhs.uk/services/gp-surgery/caton-health-centre-part-of-dr-j-d-marriott-and-partners/P81013001,LA2 9QW,0,
The Gamston Medical Ctr.,https://www.nhs.uk/services/gp-surgery/the-gamston-medical-ctr/C84703,NG2 6PS,1,http://www.gamstonmedicalcentre.co.uk/
The Ruddington Med Centre,https://www.nhs.uk/services/gp-surgery/the-ruddington-med-centre/C84028,NG11 6HD,1,https://www.theruddingtonmedicalcentre.co.uk
The Welby Practice,https://www.nhs.uk/services/gp-surgery/the-welby-practice/C82076,NG13 0AN,1,http://www.thewelbypractice.co.uk
Church House Surgery,https://www.nhs.uk/services/gp-surgery/church-house-surgery/C84005001,NG11 6HF,1,https://villagehealthgroup.co.uk
Bottesford Baptist Church,https://www.nhs.uk/services/gp-surgery/bottesford-baptist-church/C82076001,NG13 0AH,0,
Abbots Bromley Surgery,https://www.nhs.uk/services/gp-surgery/abbots-bromley-surgery/M83059,WS15 3BT,0,
Aelfgar Surgery,https://www.nhs.uk/services/gp-surgery/aelfgar-surgery/M83738,WS15 2AB,1,https://www.aelfgarsurgery.co.uk
Horsefair Practice,https://www.nhs.uk/services/gp-surgery/horsefair-practice/M83001,WS15 2FH,1,https://www.horsefairpractice.nhs.uk
Bradworthy Surgery,https://www.nhs.uk/services/gp-surgery/bradworthy-surgery/L83012,EX22 7SY,1,http://www.bradworthysurgery.nhs.uk
Ruby Country Medical Group,https://www.nhs.uk/services/gp-surgery/ruby-country-medical-group/L83069,EX22 6GH,1,http://www.rubycountrymedicalgroup.co.uk
Caton Health Centre,https://www.nhs.uk/services/gp-surgery/caton-health-centre/P81013003,LA2 9QW,0,
Lancaster Medical Practice,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice/P81002,LA1 1PN,1,https://www.lancastermedicalpractice.co.uk/
Healthub,https://www.nhs.uk/services/gp-surgery/healthub/P81013002,LA1 1RS,1,https://www.healthub.org.uk
Queen Square Medical Practice,https://www.nhs.uk/services/gp-surgery/queen-square-medical-practice/P81013,LA1 1RP,1,https://www.queensquare.org
Lancaster Medical Practice (King Street site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-king-street-site/P81002004,LA1 1RE,1,https://www.lancastermedicalpractice.co.uk
Manor Medical Centre,https://www.nhs.uk/services/gp-surgery/manor-medical-centre/C82018001,LE4 8EA,1,http://www.manorparkmedicalpractice.co.uk
Thurmaston Health Centre,https://www.nhs.uk/services/gp-surgery/thurmaston-health-centre/C82678,LE4 8EA,1,https://www.thurmastonhealthcentre.co.uk/
Horse Fair Practice Group,https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group/M83001002,WS15 2LB,0,
Sandy Lane Surgery,https://www.nhs.uk/services/gp-surgery/sandy-lane-surgery/Y02354,WS15 2LB,1,http://www.sandylanesurgery.org.uk/
Yoxall,https://www.nhs.uk/services/gp-surgery/yoxall/M83013,DE13 8PD,1,http://www.yoxallhealthcentre.org.uk
