gp,nhs_url
Beauchief Medical Practice,https://www.nhs.uk/services/gp-surgery/beauchief-medical-practice/C88046
Golden Valley Practice,https://www.nhs.uk/services/gp-surgery/golden-valley-practice/M81009
The Surgery Kingstone,https://www.nhs.uk/services/gp-surgery/the-surgery-kingstone/M81067
Peterchurch Surgery,https://www.nhs.uk/services/gp-surgery/peterchurch-surgery/M81009001
Bidford Health Centre,https://www.nhs.uk/services/gp-surgery/bidford-health-centre/M84018
Pool Medical Centre,https://www.nhs.uk/services/gp-surgery/pool-medical-centre/M84002
Redlam Surgery,https://www.nhs.uk/services/gp-surgery/redlam-surgery/P81061
Bexley Medical Group,https://www.nhs.uk/services/gp-surgery/bexley-medical-group/G83053
Station Road Surgery,https://www.nhs.uk/services/gp-surgery/station-road-surgery/B84001
Tenbury Surgery,https://www.nhs.uk/services/gp-surgery/tenbury-surgery/M81042
Barbourne Health Centre,https://www.nhs.uk/services/gp-surgery/barbourne-health-centre/M81049
Thorneloe Lodge Surgery,https://www.nhs.uk/services/gp-surgery/thorneloe-lodge-surgery/M81037
Albany House Surgery,https://www.nhs.uk/services/gp-surgery/albany-house-surgery/M81072
St Johns House Surgery,https://www.nhs.uk/services/gp-surgery/st-johns-medical-centre/P91604
Ecclesall Medical Centre,https://www.nhs.uk/services/gp-surgery/ecclesall-medical-centre/C88031001
Woodseats Medical Centre,https://www.nhs.uk/services/gp-surgery/woodseats-medical-centre/C88041
Totley Rise Medical Centre,https://www.nhs.uk/services/gp-surgery/totley-rise-medical-centre/D7O7T
Carterknowle & Dore Medical Practice,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016001
"Baslow Rd, Shoreham St & York Rd Srgies",https://www.nhs.uk/services/gp-surgery/baslow-rd-shoreham-st-and-york-rd-srgies/C88037
Much Birch Surgery,https://www.nhs.uk/services/gp-surgery/much-birch-surgery/M81024
Belmont Medical Centre,https://www.nhs.uk/services/gp-surgery/belmont-medical-centre/E85049
Credenhill Surgery,https://www.nhs.uk/services/gp-surgery/credenhill-surgery/M81026008
Quay House Medical Centre,https://www.nhs.uk/services/gp-surgery/quay-house-medical-centre/M81026005/how-to-register
Staunton-On-Wye Surgery,https://www.nhs.uk/services/gp-surgery/staunton-on-wye-surgery/M81018001
Crabbs Cross Medical Centre,https://www.nhs.uk/services/gp-surgery/crabbs-cross-medical-centre/M81616
Crabbs Cross Surgery,https://www.nhs.uk/services/gp-surgery/crabbs-cross-surgery/M81617
Lyppard Grange Medical Centre,https://www.nhs.uk/services/gp-surgery/lyppard-grange-medical-centre/M81006001
The Bridge Surgery,https://www.nhs.uk/services/gp-surgery/marple-bridge-surgery/P88002
Elbury Moor Medical Centre,https://www.nhs.uk/services/gp-surgery/elbury-moor-medical-centre/M81017
Queen Camel Medical Centre,https://www.nhs.uk/services/gp-surgery/queen-camel-medical-centre/L85044
Blackmore Vale Partnership,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620
"Millbrook Surgery, Castle Cary",https://www.nhs.uk/services/gp-surgery/millbrook-surgery-castle-cary/L85040
Salters Medical Practice,https://www.nhs.uk/services/gp-surgery/salters-medical-practice/M81034
Falkland House Surgery,https://www.nhs.uk/services/gp-surgery/falkland-house-surgery/C88053
Veritas Health Centre,https://www.nhs.uk/services/gp-surgery/veritas-health-centre/C88631
South Wye Medical Centre,https://www.nhs.uk/services/gp-surgery/south-wye-medical-centre/M81026007
Bobblestock Surgery,https://www.nhs.uk/services/gp-surgery/bobblestock-surgery/M81026006
St Peter's Surgery,https://www.nhs.uk/services/gp-surgery/st-peter-s-surgery/M91004
Haresfield House Surgery,https://www.nhs.uk/services/gp-surgery/haresfield-house-surgery/M81022
Bruton Surgery,https://www.nhs.uk/services/gp-surgery/bruton-surgery/L85032
Mere Surgery,https://www.nhs.uk/services/gp-surgery/mere-surgery/J83060
Oaklands Surgery,https://www.nhs.uk/services/gp-surgery/oaklands/N81039
Child Okeford Surgery,https://www.nhs.uk/services/gp-surgery/child-okeford-surgery/J81019001
Nhs Yeovil Health Centre,https://www.nhs.uk/services/gp-surgery/nhs-yeovil-health-centre/L85064001
Lancaster Medical Practice (Galgate site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-galgate-site/P81002008
Lancaster Medical Practice (Lancaster University site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-lancaster-university-site/P81002006
Lancaster Medical Practice (Rosebank site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-rosebank-site/P81002005
Silverdale Medical Centre,https://www.nhs.uk/services/gp-surgery/silverdale-medical-practice/P87019
Radcliffe-on-Trent. Health Centre,https://www.nhs.uk/services/gp-surgery/radcliffe-on-trent-health-centre/C84084
Market Overton & Somerby Surgeries,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649
Bradworthy Surgery,https://www.nhs.uk/services/gp-surgery/bradworthy-surgery/L83012
Ruby Country Medical Group,https://www.nhs.uk/services/gp-surgery/ruby-country-medical-group/L83069
Yetminster Medical Centre,https://www.nhs.uk/services/gp-surgery/yetminster-medical-centre/J81017
Lancaster Medical Practice (Meadowside site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-meadowside-site/P81002009
"Caton Health Centre, part of Dr J D Marriott and Partners",https://www.nhs.uk/services/gp-surgery/caton-health-centre-part-of-dr-j-d-marriott-and-partners/P81013001
Caton Health Centre,https://www.nhs.uk/services/gp-surgery/caton-health-centre/P81013003
Lancaster Medical Practice,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice/P81002
Healthub,https://www.nhs.uk/services/gp-surgery/healthub/P81013002
The Gamston Medical Ctr.,https://www.nhs.uk/services/gp-surgery/the-gamston-medical-ctr/C84703
The Ruddington Med Centre,https://www.nhs.uk/services/gp-surgery/the-ruddington-med-centre/C84028
The Welby Practice,https://www.nhs.uk/services/gp-surgery/the-welby-practice/C82076
Church House Surgery,https://www.nhs.uk/services/gp-surgery/church-house-surgery/C84005001
Bottesford Baptist Church,https://www.nhs.uk/services/gp-surgery/bottesford-baptist-church/C82076001
Manor Medical Centre,https://www.nhs.uk/services/gp-surgery/manor-medical-practice/P88003
Spa Medical Practice,https://www.nhs.uk/services/gp-surgery/spa-medical-practice/M81047
Black Torrington Surgery,https://www.nhs.uk/services/gp-surgery/black-torrington-surgery/L83663
Castle Gardens Surgery,https://www.nhs.uk/services/gp-surgery/castle-gardens-surgery/L83105
TORRINGTON HEALTH CENTRE,https://www.nhs.uk/services/gp-surgery/torrington-health-centre/L83026
Bideford Medical Centre,https://www.nhs.uk/services/gp-surgery/bideford-medical-centre/L83083
Wooda Surgery,https://www.nhs.uk/services/gp-surgery/wooda-surgery/L83106
Hanley Health & Well Being Centre,https://www.nhs.uk/services/gp-surgery/hanley-health-and-well-being-centre/Y02868
Smallthorne Health Centre,https://www.nhs.uk/services/gp-surgery/smallthorne-health-centre/M83094001
Werrington Village Surgery,https://www.nhs.uk/services/gp-surgery/werrington-village-surgery/M83011
Baddeley Green Surgery,https://www.nhs.uk/services/gp-surgery/baddeley-green-surgery/M83709
Abbots Bromley Surgery,https://www.nhs.uk/services/gp-surgery/abbots-bromley-surgery/M83059
Aelfgar Surgery,https://www.nhs.uk/services/gp-surgery/aelfgar-surgery/M83738
Horsefair Practice,https://www.nhs.uk/services/gp-surgery/horsefair-practice/M83001
Queen Square Medical Practice,https://www.nhs.uk/services/gp-surgery/queen-square-medical-practice/P81013
Lancaster Medical Practice (King Street site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-king-street-site/P81002004
Thurmaston Health Centre,https://www.nhs.uk/services/gp-surgery/thurmaston-health-centre/C82678
Cookley Surgery,https://www.nhs.uk/services/gp-surgery/cookley-surgery/M81068001
Chaddesley Surgery,https://www.nhs.uk/services/gp-surgery/chaddesley-surgery/M81090
Stratton Medical Centre,https://www.nhs.uk/services/gp-surgery/stratton-medical-centre/L82008
Northam Surgery,https://www.nhs.uk/services/gp-surgery/northam-surgery/L83050
Hartland Surgery,https://www.nhs.uk/services/gp-surgery/hartland-surgery/L83129
COBRIDGE SURGERY,https://www.nhs.uk/services/gp-surgery/cobridge-surgery/M83127
Apsley Surgery,https://www.nhs.uk/services/gp-surgery/apsley-surgery/M83627
Norfolk Street Surgery,https://www.nhs.uk/services/gp-surgery/norfolk-street-surgery/M83075
Brook Medical Centre,https://www.nhs.uk/services/gp-surgery/brook-medical-centre/M83094
Horse Fair Practice Group,https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group/M83001002
Sandy Lane Surgery,https://www.nhs.uk/services/gp-surgery/sandy-lane-surgery/Y02354
Yoxall,https://www.nhs.uk/services/gp-surgery/yoxall/M83013
Brereton Surgery,https://www.nhs.uk/services/gp-surgery/brereton-surgery/M83703
Hazeldene House Surgery,https://www.nhs.uk/services/gp-surgery/hazeldene-house-surgery/M83022
Vine House Health Centre,https://www.nhs.uk/services/gp-surgery/vine-house-health-centre/E82046
Abbotswood Medical Centre,https://www.nhs.uk/services/gp-surgery/abbottswood-medical-centre/M81046
Sheepcot Medical Centre,https://www.nhs.uk/services/gp-surgery/sheepcot-medical-centre/E82096
Student Health Services,https://www.nhs.uk/services/gp-surgery/student-health-services/M83076001
Orchard Surgery,https://www.nhs.uk/services/gp-surgery/orchard-surgery/M83038
Balance Street,https://www.nhs.uk/services/gp-surgery/balance-street/M83074
"Horse Fair Practice Group, Armitage Surgery",https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group-armitage-surgery/M83001001
North Approach Surgery,https://www.nhs.uk/services/gp-surgery/north-approach-surgery/E82013001
Kings Langley Surgery,https://www.nhs.uk/services/gp-surgery/kings-langley-surgery/E82129
Haverfield Surgery,https://www.nhs.uk/services/gp-surgery/haverfield-surgery/E82066
Garston Medical Centre,https://www.nhs.uk/services/gp-surgery/garston-medical-centre/E82017
Bridgewater Surgeries - Garston Clinic,https://www.nhs.uk/services/gp-surgery/bridgewater-surgeries-garston-clinic/Q6K8K
North Carlisle Medical Practice,https://www.nhs.uk/services/gp-surgery/north-carlisle-medical-practice/A82016004
Blackwell Road Branch Surgery,https://www.nhs.uk/services/gp-surgery/blackwell-road-branch-surgery/A82018001
Spencer St Surgery,https://www.nhs.uk/services/gp-surgery/spencer-st-surgery/A82018
Warwick Road Surgery,https://www.nhs.uk/services/gp-surgery/warwick-road-surgery/A82015
Pembroke Road Surgery,https://www.nhs.uk/services/gp-surgery/pembroke-road-surgery/L81081
Sea Mills Surgery,https://www.nhs.uk/services/gp-surgery/sea-mills-surgery/L81077
Whiteladies Medical Group,https://www.nhs.uk/services/gp-surgery/whiteladies-medical-group/L81091
Colchester Medical Practice,https://www.nhs.uk/services/gp-surgery/colchester-medical-practice/F81042
East Hill Surgery,https://www.nhs.uk/services/gp-surgery/east-hill-surgery/F81091
Coach Road Surgery,https://www.nhs.uk/services/gp-surgery/coach-road-surgery/F81116001/how-to-register
The Ross Practice,https://www.nhs.uk/services/gp-surgery/the-ross-practice/F81106
The Hamilton Practice,https://www.nhs.uk/services/gp-surgery/the-hamilton-practice/F81047
The Writtle Surgery,https://www.nhs.uk/services/gp-surgery/the-writtle-surgery/F81098
John Tasker House Surgery,https://www.nhs.uk/services/gp-surgery/john-tasker-house-surgery/F81118
Meridan Surgery,https://www.nhs.uk/services/gp-surgery/meridian-practice/Y00996
Bricket Wood Surgery,https://www.nhs.uk/services/gp-surgery/bricket-wood-surgery/E82113001
Warwick Square Group Practice,https://www.nhs.uk/services/gp-surgery/warwick-square-group-practice/A82654
Fusehill Medical Practice,https://www.nhs.uk/services/gp-surgery/fusehill-medical-practice/A82019
Carlisle Healthcare,https://www.nhs.uk/services/gp-surgery/carlisle-healthcare/A82016
Carlisle Healthcare South,https://www.nhs.uk/services/gp-surgery/carlisle-healthcare-south/M8L6R
Heywood Family Practice,https://www.nhs.uk/services/gp-surgery/heywood-family-practice/L81085
Shirehampton Group Practice,https://www.nhs.uk/services/gp-surgery/shirehampton-group-practice/L81008
Long Ashton Surgery,https://www.nhs.uk/services/gp-surgery/long-ashton-surgery/L81034004
Student Health Service,https://www.nhs.uk/services/gp-surgery/student-health-services/M83076001
The Family Practice,https://www.nhs.uk/services/gp-surgery/family-practice/P86606
Hawthorn Surgery,https://www.nhs.uk/services/gp-surgery/hawthorn-mc/Y02890
Parsons Health Medical Practice,https://www.nhs.uk/services/gp-surgery/parsons-health-medical-practice/F81042003
Winstree Medical Practice,https://www.nhs.uk/services/gp-surgery/winstree-medical-practice/F81069
Elmstead Surgery,https://www.nhs.uk/services/gp-surgery/elmstead-surgery/F81095002
Colne Medical Centre,https://www.nhs.uk/services/gp-surgery/colne-medical-centre/F81116
Deal Tree Health Centre,https://www.nhs.uk/services/gp-surgery/deal-tree-health-centre/F81215
South Street Branch Surgery,https://www.nhs.uk/services/gp-surgery/south-street-branch-surgery/A6Z5U
"Haymeads Lane Medical Centre, Bishops Stortford",https://www.nhs.uk/services/gp-surgery/haymeads-lane-medical-centre-bishops-stortford/E82067002
Helix Medical Centre,https://www.nhs.uk/services/gp-surgery/helix-medical-centre/E82654
Angel Lane Surgery,https://www.nhs.uk/services/gp-surgery/angel-lane-surgery/F81090
at Medics,https://www.nhs.uk/services/gp-surgery/at-medics/Y02974
Plumstead H/C PMS,https://www.nhs.uk/services/gp-surgery/plumstead-h-c-pms/G83019
Conway PMS,https://www.nhs.uk/services/gp-surgery/conway-pms/G83633
Pritchard Street Branch Surgery,https://www.nhs.uk/services/gp-surgery/pritchard-street-branch-surgery/P81160002
Roman Road Health Centre,https://www.nhs.uk/services/gp-surgery/roman-road-health-centre/P81709
Whittle Surgery,https://www.nhs.uk/services/gp-surgery/whittle-surgery/P81143
Clayton Brook Surgery,https://www.nhs.uk/services/gp-surgery/clayton-brook-surgery/P81180
Longtown Medical Centre,https://www.nhs.uk/services/gp-surgery/longtown-medical-centre/A82646
James Street Group Pract,https://www.nhs.uk/services/gp-surgery/james-street-group-pract/A82047
Fallodon Way Medical Centre,https://www.nhs.uk/services/gp-surgery/fallodon-way-medical-centre/L81131
Gaywood House Surgery,https://www.nhs.uk/services/gp-surgery/gaywood-house-surgery/L81007002
Ambrose Ave Group Practice Branch Surgery,https://www.nhs.uk/services/gp-surgery/ambrose-ave-group-practice-branch-surgery/F81067002
Tollgate Health Centre,https://www.nhs.uk/services/gp-surgery/tollgate-health-centre/F81716/how-to-register
Melbourne House Surgery,https://www.nhs.uk/services/gp-surgery/melbourne-house-surgery/F81122001
Heronsgate Medical Centre,https://www.nhs.uk/services/gp-surgery/heronsgate-medical-centre/G83012001
Dr Davies & Partner,https://www.nhs.uk/services/gp-surgery/dr-davies-and-partner/G83033
Waverley PMS,https://www.nhs.uk/services/gp-surgery/waverley-pms/G83635
Glyndon PMS,https://www.nhs.uk/services/gp-surgery/glyndon-pms/G83060
The Trinity Medical Centre,https://www.nhs.uk/services/gp-surgery/trinity-medical-centre/P87634001
Limefield Surgery,https://www.nhs.uk/services/gp-surgery/limefield-surgery/P81214
Dr Dawoud's Surgery,https://www.nhs.uk/services/gp-surgery/dr-dawoud-s-surgery/P81701
St Georges Surgery,https://www.nhs.uk/services/gp-surgery/st-georges-surgery/P81058
Eaves Lane Surgery,https://www.nhs.uk/services/gp-surgery/eaves-lane-surgery/P81740004
Dr T L Phillips at Barbara Castle Health Centre,https://www.nhs.uk/services/gp-surgery/dr-t-l-phillips-at-barbara-castle-health-centre/P81155001
Family Practice,https://www.nhs.uk/services/gp-surgery/family-practice/P86606
Alconbury Surgery,https://www.nhs.uk/services/gp-surgery/alconbury-surgery/D81004
Acorn Surgery,https://www.nhs.uk/services/gp-surgery/acorn-surgery/D81633
The Hicks Group Practice,https://www.nhs.uk/services/gp-surgery/the-hicks-group-practice/D81050
Priory Fields Surgery,https://www.nhs.uk/services/gp-surgery/priory-fields-surgery/D81010
Wargrave House Surgery,https://www.nhs.uk/services/gp-surgery/wargrave-house-surgery/M81066
Cantilupe Surgery,https://www.nhs.uk/services/gp-surgery/cantilupe-surgery/M81032
Hereford Medical Group,https://www.nhs.uk/services/gp-surgery/hereford-medical-group/M81026
St Martin's Gate Surgery,https://www.nhs.uk/services/gp-surgery/st-martin-s-gate-surgery/M81035
Hillview Medical Centre,https://www.nhs.uk/services/gp-surgery/hillview-medical-centre/H81061
Corbett Medical Practice,https://www.nhs.uk/services/gp-surgery/corbett-medical-practice/M81091
The Pickford Surgery,https://www.nhs.uk/services/gp-surgery/the-pickford-surgery/G83002001
Dr GUPTA & partner,https://www.nhs.uk/services/gp-surgery/dr-gupta-and-partner/G83635001
Brampton Surgery,https://www.nhs.uk/services/gp-surgery/brampton-surgery/D81004001
Moat House Surgery,https://www.nhs.uk/services/gp-surgery/moat-house-surgery/H81083
Moat House Surgery Resource Centre,https://www.nhs.uk/services/gp-surgery/moat-house-surgery-resource-centre/D81060001
Godmanchester,https://www.nhs.uk/services/gp-surgery/godmanchester/D81050001
The Hampton Dene Surgery,https://www.nhs.uk/services/gp-surgery/the-hampton-dene-surgery/M81032001
Fownhope Medical Centre,https://www.nhs.uk/services/gp-surgery/fownhope-medical-centre/M81604
Weobley & Staunton on Wye Surgeries,https://www.nhs.uk/services/gp-surgery/staunton-on-wye-surgery/M81018001
Pendeen Surgery,https://www.nhs.uk/services/gp-surgery/pendeen-surgery/M81061
