gp,nhs_url,url
Wincanton Health Centre,https://www.nhs.uk/services/gp-surgery/wincanton-health-centre/L85027,http://www.wincantonhealth.co.uk
Blackmore Vale Partnership,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620,http://www.blackmorevalesurgery.co.uk/
The Arrow Surgery,https://www.nhs.uk/services/gp-surgery/the-arrow-surgery/M84060,http://www.thearrowsurgery.nhs.uk
Alcester Health Centre,https://www.nhs.uk/services/gp-surgery/alcester-health-centre/M84049,http://www.alcesterhealthcentre.co.uk
The Grove Medical Practice,https://www.nhs.uk/services/gp-surgery/the-grove-medical-practice/C85019,http://www.thegrovemedicalpractice.co.uk
The Apples Medical Centre,https://www.nhs.uk/services/gp-surgery/the-apples-medical-centre/J81029,http://www.sherborneapples.co.uk/
Sherborne School Health Centre,https://www.nhs.uk/services/gp-surgery/sherborne-school-health-centre/J81017001,notfound
Peacemarsh Surgery,https://www.nhs.uk/services/gp-surgery/peacemarsh-surgery/J81081001,http://www.gillinghamsurgery.co.uk
Silton Surgery,https://www.nhs.uk/services/gp-surgery/silton-surgery/J83629,https://www.siltonsurgery.nhs.uk/
Gillingham Medical Practice,https://www.nhs.uk/services/gp-surgery/gillingham-medical-practice/J81081,http://www.gillinghamsurgery.co.uk
The County Practice,https://www.nhs.uk/services/gp-surgery/the-county-practice/C82042,http://www.countypracticesyston.nhs.uk
JUBILEE MEDICAL CENTRE,https://www.nhs.uk/services/gp-surgery/jubilee-medical-centre/N82083,http://www.jubileemedicalcentre.nhs.uk
Market Overton & Somerby Surgeries,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649,https://marketovertonandsomerbysurgeries.co.uk
Barrowford Health Centre,https://www.nhs.uk/services/gp-surgery/barrowford-health-centre/P81032001,http://www.reedyfordgp.com/
Charnwood Surgery,https://www.nhs.uk/services/gp-surgery/charnwood-surgery/C82097,http://www.charnwoodsurgery.co.uk
Alpine House Surgery,https://www.nhs.uk/services/gp-surgery/alpine-house-surgery/C82095,http://www.alpinehousesurgery.co.uk
Quorn Medical Centre,https://www.nhs.uk/services/gp-surgery/quorn-medical-centre/C82034,http://www.quornmedicalcentre.co.uk/
East Leake,https://www.nhs.uk/services/gp-surgery/east-leake/C84005003,notfound
Village Health Group,https://www.nhs.uk/services/gp-surgery/village-health-group/C84005,https://villagehealthgroup.co.uk/
Hulton House Surgery,https://www.nhs.uk/services/gp-surgery/hulton-house-surgery/M83123001,http://www.birchesheadmedicalcentre.co.uk/
Birches Head Medical Ctr.,https://www.nhs.uk/services/gp-surgery/birches-head-medical-ctr/M83123,http://www.birchesheadmedicalcentre.co.uk/
Potteries Medical Centre,https://www.nhs.uk/services/gp-surgery/potteries-medical-centre/M83102,notfound
Millrise Medical Practice,https://www.nhs.uk/services/gp-surgery/millrise-medical-practice/M83061,http://www.millrisemedicalpractice.co.uk/
The Church Street Practice,https://www.nhs.uk/services/gp-surgery/the-church-street-practice/M81056,https://www.churchstreetsurgery.co.uk
Belvoir Health Group,https://www.nhs.uk/services/gp-surgery/belvoir-health-group/C84017,https://www.belvoirhealthgroup.co.uk
Prima Care Surgeries,https://www.nhs.uk/services/gp-surgery/prima-care-surgeries/M83625002,http://www.drchadalavadaandpartners.nhs.uk
The Moorcroft Medical Ctr,https://www.nhs.uk/services/gp-surgery/the-moorcroft-medical-ctr/M83146,https://www.moorcroftmedical.com
Cambridge House,https://www.nhs.uk/services/gp-surgery/cambridge-house/M83624,http://www.cambridgehousesurgery.co.uk/
Moss Green Surgery,https://www.nhs.uk/services/gp-surgery/moss-green-surgery/M83146001,notfound
Harley Street Medical Ctr,https://www.nhs.uk/services/gp-surgery/harley-street-medical-ctr/M83076,https://www.harleystreetmedicalpractice.org.uk
Silloth Group Medical Practice,https://www.nhs.uk/services/gp-surgery/silloth-group-medical-practice/A82037,http://www.sillothgroupmedicalpractice.nhs.uk
The Croft Surgery,https://www.nhs.uk/services/gp-surgery/the-croft-surgery/A82029,http://www.kirkbridesurgery.org.uk/
Wigton Group Medical Practice,https://www.nhs.uk/services/gp-surgery/wigton-group-medical-practice/A82045,http://www.wigtonmedicalpractice.co.uk
Eden Surgery,https://www.nhs.uk/services/gp-surgery/eden-surgery/C81604,https://www.edensurgery.co.uk
The Eden Surgeries,https://www.nhs.uk/services/gp-surgery/the-eden-surgeries/F81004,http://www.hatfieldheathsurgery.co.uk
Ongar Health Centre,https://www.nhs.uk/services/gp-surgery/ongar-health-centre/F81049,http://www.ongarhealthcentre.co.uk
Rowhedge Surgery,https://www.nhs.uk/services/gp-surgery/rowhedge-surgery/F81141,https://www.rowhedgesurgery.co.uk
Malting Green Surgery,https://www.nhs.uk/services/gp-surgery/malting-green-surgery/F81069004,http://www.winstreemedicalpractice.co.uk/
Wivenhoe Surgery,https://www.nhs.uk/services/gp-surgery/wivenhoe-surgery/F81028,https://www.wivenhoesurgery.nhs.uk
Abbey Field Medical Centre,https://www.nhs.uk/services/gp-surgery/abbey-field-medical-centre/F81095,notfound
The Ridgeway Surgery,https://www.nhs.uk/services/gp-surgery/the-ridgeway-surgery/E84068,http://www.ridgeway-surgery.co.uk/
Aspatria Medical Group,https://www.nhs.uk/services/gp-surgery/aspatria-medical-group/A82055,http://www.aspatriamedicalgroup.co.uk
Caldbeck Surgery,https://www.nhs.uk/services/gp-surgery/caldbeck-surgery/A82014,http://www.caldbecksurgery.co.uk
Dalston Medical Group,https://www.nhs.uk/services/gp-surgery/dalston-medical-group/A82022,http://www.dalstonmedicalgroup.org.uk
Castlegate and Derwent Surgery,https://www.nhs.uk/services/gp-surgery/castlegate-and-derwent-surgery/A82021,http://www.castlegateandderwentsurgery.nhs.uk
Maryport Health Services,https://www.nhs.uk/services/gp-surgery/maryport-health-services/A82032,notfound
Central Surgery,https://www.nhs.uk/services/gp-surgery/central-surgery/N83027,https://www.centralsurgerysthelens.co.uk/
Old Harlow Health Centre,https://www.nhs.uk/services/gp-surgery/old-harlow-health-centre/F81056,http://www.oldharlowhealth.co.uk
Church Langley Medical Practice,https://www.nhs.uk/services/gp-surgery/church-langley-medical-practice/F81078,http://clmp.co.uk
North Weald Surgery,https://www.nhs.uk/services/gp-surgery/north-weald-surgery/F81043002,http://www.thelimesmedicalcentre.com
Gardens and Jacobs Medical Partnership,https://www.nhs.uk/services/gp-surgery/gardens-and-jacobs-medical-partnership/Y01924,notfound
Wimpole Road Surgery,https://www.nhs.uk/services/gp-surgery/wimpole-road-surgery/F81042001,http://www.colchestermedicalpractice.co.uk
University Health Centre,https://www.nhs.uk/services/gp-surgery/university-health-centre/P87027001,https://www.salforduni.health/
Creffield Medical Group,https://www.nhs.uk/services/gp-surgery/creffield-medical-group/F81115,http://www.creffieldmedicalcentre.nhs.uk
Shrub End Surgery,https://www.nhs.uk/services/gp-surgery/shrub-end-surgery/F81042002,http://www.colchestermedicalpractice.co.uk/
Ambrose Avenue Group Practice,https://www.nhs.uk/services/gp-surgery/ambrose-avenue-group-practice/F81067,http://www.ambroseavenue.com
Withnell Health Centre,https://www.nhs.uk/services/gp-surgery/withnell-health-centre/P81010,failed
Feniscowles Surgery,https://www.nhs.uk/services/gp-surgery/feniscowles-surgery/P81633001,notfound
Bentham Road Health Centre,https://www.nhs.uk/services/gp-surgery/bentham-road-health-centre/Y02657,http://www.cornerstonepractice.com
Hollins Grove Surgery,https://www.nhs.uk/services/gp-surgery/hollins-grove-surgery/P81721,notfound
The Lakeside Surgery,https://www.nhs.uk/services/gp-surgery/the-lakeside-surgery/N81108,https://www.lakesidesurgery.co.uk
Abbey Wood Surgery,https://www.nhs.uk/services/gp-surgery/abbey-wood-surgery/G83031,failed
Abbeyslade Pms (Dr Chand),https://www.nhs.uk/services/gp-surgery/abbeyslade-pms-dr-chand/G83631,https://www.basildonroadsurgery.co.uk/
Morton Surgery,https://www.nhs.uk/services/gp-surgery/morton-surgery/A82654001,https://www.warwicksquaregrouppractice.co.uk
Eden Medical Group,https://www.nhs.uk/services/gp-surgery/eden-medical-group/A82020,notfound
Nuffield House Health Centre,https://www.nhs.uk/services/gp-surgery/nuffield-house-health-centre/F81120,http://www.nuffieldhouse.co.uk/
Sydenham House Medical Centre,https://www.nhs.uk/services/gp-surgery/sydenham-house-medical-centre/G82050,http://www.sydenhamhouse.co.uk
West Mersea Surgery,https://www.nhs.uk/services/gp-surgery/west-mersea-surgery/F81012,http://www.westmerseasurgery.co.uk/
Darwen Healthlink,https://www.nhs.uk/services/gp-surgery/darwen-healthlink/P81140,http://darwenhealthlink.nhs.uk
Darwen Healthcare,https://www.nhs.uk/services/gp-surgery/darwen-healthcare/P81051,http://darwenhealthcare.co.uk/
Witton Medical Centre,https://www.nhs.uk/services/gp-surgery/witton-medical-centre/P81022,http://www.wittonmedicalcentre.nhs.uk
Dr A Alam & Partner,https://www.nhs.uk/services/gp-surgery/dr-a-alam-and-partner/P81683001,failed
Spring-Fenisco Healthlink,https://www.nhs.uk/services/gp-surgery/spring-fenisco-healthlink/P81633,http://www.springfeniscohealthlink.co.uk/
Gallions Reach Health Centre,https://www.nhs.uk/services/gp-surgery/gallions-reach-health-centre/G83012,http://www.thamesmeadmedical.org
Bannockburn Surgery,https://www.nhs.uk/services/gp-surgery/bannockburn-surgery/G83654,http://www.bannockburnsurgery.co.uk
Dr Mostafa M A,https://www.nhs.uk/services/gp-surgery/dr-mostafa-m-a/G83647001,http://www.drmostafapms.nhs.uk
Belvedere Medical Centre,https://www.nhs.uk/services/gp-surgery/belvedere-medical-centre/G83052,http://www.belvederemedicalcentre.co.uk/
Mostafa Pms,https://www.nhs.uk/services/gp-surgery/mostafa-pms/G83647,http://www.drmostafapms.nhs.uk
Kidderminster Medical Centre,https://www.nhs.uk/services/gp-surgery/kidderminster-medical-centre/M81010,https://www.kidderminstermedicalcentre.co.uk
Stanmore House Surgery,https://www.nhs.uk/services/gp-surgery/stanmore-house-surgery/M81015,http://www.stanmorehousesurgery.co.uk
Wolverley Surgery,https://www.nhs.uk/services/gp-surgery/wolverley-surgery/M81608,https://www.wolverleysurgery.co.uk
Carterknowle And Dore Medical Practice,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016001,http://www.carterknowlesurgery.co.uk
The Avenue Medical Centre,https://www.nhs.uk/services/gp-surgery/the-avenue-medical-centre/P84049,http://www.theavenuemcblackley.nhs.uk
Beauchief Medical Practice,https://www.nhs.uk/services/gp-surgery/beauchief-medical-practice/C88046,http://www.beauchiefmedicalpractice.nhs.uk
Golden Valley Practice,https://www.nhs.uk/services/gp-surgery/golden-valley-practice/M81009,http://www.goldenvalleypractice.co.uk
The Surgery Kingstone,https://www.nhs.uk/services/gp-surgery/the-surgery-kingstone/M81067,http://kingstonesurgery.co.uk
Peterchurch Surgery,https://www.nhs.uk/services/gp-surgery/peterchurch-surgery/M81009001,https://www.goldenvalleypractice.co.uk
Bidford Health Centre,https://www.nhs.uk/services/gp-surgery/bidford-health-centre/M84018,http://bidfordhc.nhs.uk/
Pool Medical Centre,https://www.nhs.uk/services/gp-surgery/pool-medical-centre/M84002,http://www.poolmedical.nhs.uk
Redlam Surgery,https://www.nhs.uk/services/gp-surgery/redlam-surgery/P81061,http://www.redlamsurgery.co.uk
Bexley Medical Group,https://www.nhs.uk/services/gp-surgery/bexley-medical-group/G83053,http://www.bexleymedicalgroup.co.uk
Station Road Surgery,https://www.nhs.uk/services/gp-surgery/station-road-surgery/B84001,http://www.stationsurgery.co.uk
Tenbury Surgery,https://www.nhs.uk/services/gp-surgery/tenbury-surgery/M81042,notfound
Barbourne Health Centre,https://www.nhs.uk/services/gp-surgery/barbourne-health-centre/M81049,https://www.barbournehealthcentre.co.uk
Thorneloe Lodge Surgery,https://www.nhs.uk/services/gp-surgery/thorneloe-lodge-surgery/M81037,https://www.thorneloelodgesurgery.co.uk
Albany House Surgery,https://www.nhs.uk/services/gp-surgery/albany-house-surgery/M81072,https://www.albanyhousesurgeryworcester.co.uk
St Johns Medical Centre,https://www.nhs.uk/services/gp-surgery/st-johns-medical-centre/P91604,https://www.stjohnsmedicalcentre.co.uk
Ecclesall Medical Centre,https://www.nhs.uk/services/gp-surgery/ecclesall-medical-centre/C88031001,https://www.upperthorpemedicalcentre.co.uk
Totley Rise Medical Centre,https://www.nhs.uk/services/gp-surgery/totley-rise-medical-centre/D7O7T,http://www.beauchiefmedicalpractice.nhs.uk
Woodseats Medical Centre,https://www.nhs.uk/services/gp-surgery/woodseats-medical-centre/C88041,http://www.woodseatsmedicalcentre.nhs.uk/
"Baslow Rd, Shoreham St & York Rd Srgies",https://www.nhs.uk/services/gp-surgery/baslow-rd-shoreham-st-and-york-rd-srgies/C88037,notfound
Much Birch Surgery,https://www.nhs.uk/services/gp-surgery/much-birch-surgery/M81024,http://www.muchbirchsurgery.co.uk
Credenhill Surgery,https://www.nhs.uk/services/gp-surgery/credenhill-surgery/M81026008,https://www.herefordmedicalgroup.co.uk/
Belmont Medical Centre,https://www.nhs.uk/services/gp-surgery/belmont-medical-centre/E85049,http://www.belmontmedicalcentre.nhs.uk/
Quay House Medical Centre,https://www.nhs.uk/services/gp-surgery/quay-house-medical-centre/M81026005,https://www.herefordmedicalgroup.co.uk/
Staunton-On-Wye Surgery,https://www.nhs.uk/services/gp-surgery/staunton-on-wye-surgery/M81018001,http://www.weobleyandstauntonsurgeries.nhs.uk
Crabbs Cross Medical Centre,https://www.nhs.uk/services/gp-surgery/crabbs-cross-medical-centre/M81616,notfound
Crabbs Cross Surgery,https://www.nhs.uk/services/gp-surgery/crabbs-cross-surgery/M81617,notfound
Lyppard Grange Medical Centre,https://www.nhs.uk/services/gp-surgery/lyppard-grange-medical-centre/M81006001,https://www.severnvalleymedicalpractice.co.uk
Marple Bridge Surgery,https://www.nhs.uk/services/gp-surgery/marple-bridge-surgery/P88002,http://www.marplebridgesurgery.nhs.uk
Elbury Moor Medical Centre,https://www.nhs.uk/services/gp-surgery/elbury-moor-medical-centre/M81017,https://www.elburymoor.co.uk
Queen Camel Medical Centre,https://www.nhs.uk/services/gp-surgery/queen-camel-medical-centre/L85044,http://www.queencamelmedicalcentre.co.uk
"Millbrook Surgery, Castle Cary",https://www.nhs.uk/services/gp-surgery/millbrook-surgery-castle-cary/L85040,https://www.millbrook-surgery.nhs.uk
Salters Medical Practice,https://www.nhs.uk/services/gp-surgery/salters-medical-practice/M81034,https://www.salters.org.uk
Falkland House Surgery,https://www.nhs.uk/services/gp-surgery/falkland-house-surgery/C88053,https://www.falklandhousesurgery.co.uk/
Veritas Health Centre,https://www.nhs.uk/services/gp-surgery/veritas-health-centre/C88631,notfound
South Wye Medical Centre,https://www.nhs.uk/services/gp-surgery/south-wye-medical-centre/M81026007,https://www.herefordmedicalgroup.co.uk/
Bobblestock Surgery,https://www.nhs.uk/services/gp-surgery/bobblestock-surgery/M81026006,https://www.herefordmedicalgroup.co.uk/
St Peter's Surgery,https://www.nhs.uk/services/gp-surgery/st-peter-s-surgery/M91004,http://www.stpeterssurgery.com
Haresfield House Surgery,https://www.nhs.uk/services/gp-surgery/haresfield-house-surgery/M81022,notfound
Bruton Surgery,https://www.nhs.uk/services/gp-surgery/bruton-surgery/L85032,https://brutonsurgery.nhs.uk/
Mere Surgery,https://www.nhs.uk/services/gp-surgery/mere-surgery/J83060,http://www.meresurgery.co.uk/index.aspx
Oaklands,https://www.nhs.uk/services/gp-surgery/oaklands/N81039,https://www.oaklandsmiddlewich.nhs.uk/
Child Okeford Surgery,https://www.nhs.uk/services/gp-surgery/child-okeford-surgery/J81019001,http://www.whitecliffpractice.co.uk
Nhs Yeovil Health Centre,https://www.nhs.uk/services/gp-surgery/nhs-yeovil-health-centre/L85064001,notfound
Lancaster Medical Practice (Galgate site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-galgate-site/P81002008,https://www.lancastermedicalpractice.co.uk/
Lancaster Medical Practice (Lancaster University site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-lancaster-university-site/P81002006,https://www.lancastermedicalpractice.co.uk/
Lancaster Medical Practice (Rosebank site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-rosebank-site/P81002005,https://www.lancastermedicalpractice.co.uk/
Silverdale Medical Practice,https://www.nhs.uk/services/gp-surgery/silverdale-medical-practice/P87019,https://www.pendleburyhealthcentre.co.uk
Radcliffe-on-Trent. Health Centre,https://www.nhs.uk/services/gp-surgery/radcliffe-on-trent-health-centre/C84084,notfound
Bradworthy Surgery,https://www.nhs.uk/services/gp-surgery/bradworthy-surgery/L83012,http://www.bradworthysurgery.nhs.uk
Ruby Country Medical Group,https://www.nhs.uk/services/gp-surgery/ruby-country-medical-group/L83069,http://www.rubycountrymedicalgroup.co.uk
Yetminster Medical Centre,https://www.nhs.uk/services/gp-surgery/yetminster-medical-centre/J81017,https://www.yetminsterhc.co.uk
Lancaster Medical Practice (Meadowside site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-meadowside-site/P81002009,https://www.lancastermedicalpractice.co.uk/
"Caton Health Centre, part of Dr J D Marriott and Partners",https://www.nhs.uk/services/gp-surgery/caton-health-centre-part-of-dr-j-d-marriott-and-partners/P81013001,notfound
Caton Health Centre,https://www.nhs.uk/services/gp-surgery/caton-health-centre/P81013003,notfound
Lancaster Medical Practice,https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice/P81002,https://www.lancastermedicalpractice.co.uk/
The Gamston Medical Ctr.,https://www.nhs.uk/services/gp-surgery/the-gamston-medical-ctr/C84703,http://www.gamstonmedicalcentre.co.uk/
Healthub,https://www.nhs.uk/services/gp-surgery/healthub/P81013002,https://www.healthub.org.uk
The Ruddington Med Centre,https://www.nhs.uk/services/gp-surgery/the-ruddington-med-centre/C84028,https://www.theruddingtonmedicalcentre.co.uk
The Welby Practice,https://www.nhs.uk/services/gp-surgery/the-welby-practice/C82076,http://www.thewelbypractice.co.uk
Church House Surgery,https://www.nhs.uk/services/gp-surgery/church-house-surgery/C84005001,https://villagehealthgroup.co.uk
Bottesford Baptist Church,https://www.nhs.uk/services/gp-surgery/bottesford-baptist-church/C82076001,notfound
Manor Medical Practice,https://www.nhs.uk/services/gp-surgery/manor-medical-practice/P88003,https://manormedical.co.uk/
Spa Medical Practice,https://www.nhs.uk/services/gp-surgery/spa-medical-practice/M81047,https://www.spamedical.co.uk
Black Torrington Surgery,https://www.nhs.uk/services/gp-surgery/black-torrington-surgery/L83663,http://www.blakehousesurgery.co.uk/
Castle Gardens Surgery,https://www.nhs.uk/services/gp-surgery/castle-gardens-surgery/L83105,http://www.castlegardenssurgery.co.uk/
TORRINGTON HEALTH CENTRE,https://www.nhs.uk/services/gp-surgery/torrington-health-centre/L83026,http://www.torringtonhc.co.uk
Bideford Medical Centre,https://www.nhs.uk/services/gp-surgery/bideford-medical-centre/L83083,notfound
Wooda Surgery,https://www.nhs.uk/services/gp-surgery/wooda-surgery/L83106,notfound
Hanley Health & Well Being Centre,https://www.nhs.uk/services/gp-surgery/hanley-health-and-well-being-centre/Y02868,notfound
Smallthorne Health Centre,https://www.nhs.uk/services/gp-surgery/smallthorne-health-centre/M83094001,notfound
Werrington Village Surgery,https://www.nhs.uk/services/gp-surgery/werrington-village-surgery/M83011,https://www.werringtonsurgery.nhs.uk/
Baddeley Green Surgery,https://www.nhs.uk/services/gp-surgery/baddeley-green-surgery/M83709,notfound
Abbots Bromley Surgery,https://www.nhs.uk/services/gp-surgery/abbots-bromley-surgery/M83059,notfound
Horsefair Practice,https://www.nhs.uk/services/gp-surgery/horsefair-practice/M83001,https://www.horsefairpractice.nhs.uk
Aelfgar Surgery,https://www.nhs.uk/services/gp-surgery/aelfgar-surgery/M83738,https://www.aelfgarsurgery.co.uk
Queen Square Medical Practice,https://www.nhs.uk/services/gp-surgery/queen-square-medical-practice/P81013,https://www.queensquare.org
Lancaster Medical Practice (King Street site),https://www.nhs.uk/services/gp-surgery/lancaster-medical-practice-king-street-site/P81002004,https://www.lancastermedicalpractice.co.uk
Thurmaston Health Centre,https://www.nhs.uk/services/gp-surgery/thurmaston-health-centre/C82678,failed
Cookley Surgery,https://www.nhs.uk/services/gp-surgery/cookley-surgery/M81068001,http://www.aylmerlodgecookleypartnership.co.uk
Chaddesley Surgery,https://www.nhs.uk/services/gp-surgery/chaddesley-surgery/M81090,https://chaddesleycorbettsurgery.co.uk/
Stratton Medical Centre,https://www.nhs.uk/services/gp-surgery/stratton-medical-centre/L82008,http://www.rubycountrymedicalgroup.co.uk
Northam Surgery,https://www.nhs.uk/services/gp-surgery/northam-surgery/L83050,https://www.northamsurgery.nhs.uk
Hartland Surgery,https://www.nhs.uk/services/gp-surgery/hartland-surgery/L83129,failed
COBRIDGE SURGERY,https://www.nhs.uk/services/gp-surgery/cobridge-surgery/M83127,notfound
Apsley Surgery,https://www.nhs.uk/services/gp-surgery/apsley-surgery/M83627,http://www.apsleyhousesurgery.co.uk/
Norfolk Street Surgery,https://www.nhs.uk/services/gp-surgery/norfolk-street-surgery/M83075,http://www.norfolkstreetsurgery.co.uk/
Brook Medical Centre,https://www.nhs.uk/services/gp-surgery/brook-medical-centre/M83094,https://www.brookmedicalcentre.nhs.uk/
Horse Fair Practice Group,https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group/M83001002,notfound
Sandy Lane Surgery,https://www.nhs.uk/services/gp-surgery/sandy-lane-surgery/Y02354,http://www.sandylanesurgery.org.uk/
Yoxall,https://www.nhs.uk/services/gp-surgery/yoxall/M83013,http://www.yoxallhealthcentre.org.uk
Brereton Surgery,https://www.nhs.uk/services/gp-surgery/brereton-surgery/M83703,http://www.breretonsurgery.nhs.uk
Hazeldene House Surgery,https://www.nhs.uk/services/gp-surgery/hazeldene-house-surgery/M83022,http://www.hazeldenehousesurgery.org.uk/
Vine House Health Centre,https://www.nhs.uk/services/gp-surgery/vine-house-health-centre/E82046,http://www.vinehouse.org
Sheepcot Medical Centre,https://www.nhs.uk/services/gp-surgery/sheepcot-medical-centre/E82096,https://www.sheepcotmedicalcentre.co.uk
Student Health Services,https://www.nhs.uk/services/gp-surgery/student-health-services/M83076001,http://www.harleystreetmedicalpractice.org.uk/
Orchard Surgery,https://www.nhs.uk/services/gp-surgery/orchard-surgery/M83038,http://www.orchardsurgery.co.uk
Balance Street,https://www.nhs.uk/services/gp-surgery/balance-street/M83074,http://www.balancestreetpractice.co.uk
Kings Langley Surgery,https://www.nhs.uk/services/gp-surgery/kings-langley-surgery/E82129,http://www.klbsurgeries.co.uk
"Horse Fair Practice Group, Armitage Surgery",https://www.nhs.uk/services/gp-surgery/horse-fair-practice-group-armitage-surgery/M83001001,https://www.horsefairpractice.nhs.uk
North Approach Surgery,https://www.nhs.uk/services/gp-surgery/north-approach-surgery/E82013001,http://www.bridgewatersurgeries.nhs.uk/
Haverfield Surgery,https://www.nhs.uk/services/gp-surgery/haverfield-surgery/E82066,notfound
Garston Medical Centre,https://www.nhs.uk/services/gp-surgery/garston-medical-centre/E82017,https://www.garstonmedicalcentre.co.uk/
Bridgewater Surgeries - Garston Clinic,https://www.nhs.uk/services/gp-surgery/bridgewater-surgeries-garston-clinic/Q6K8K,notfound
North Carlisle Medical Practice,https://www.nhs.uk/services/gp-surgery/north-carlisle-medical-practice/A82016004,notfound
Blackwell Road Branch Surgery,https://www.nhs.uk/services/gp-surgery/blackwell-road-branch-surgery/A82018001,https://www.spencerstreetsurgery.co.uk
Spencer St Surgery,https://www.nhs.uk/services/gp-surgery/spencer-st-surgery/A82018,http://www.spencerstreetsurgery.co.uk
Warwick Road Surgery,https://www.nhs.uk/services/gp-surgery/warwick-road-surgery/A82015,http://www.ssphealth.com
Pembroke Road Surgery,https://www.nhs.uk/services/gp-surgery/pembroke-road-surgery/L81081,https://www.pembrokeroadsurgery.co.uk
Sea Mills Surgery,https://www.nhs.uk/services/gp-surgery/sea-mills-surgery/L81077,http://www.seamillssurgery.nhs.uk/
