locname,GPs
Zouch,"Melbourne Park Medical Centre,Derwent Valley Medical Practice,Dr B Modi,The Dales Medical Centre,Oakwood Medical Centre,Doncaster Road Surgery,Dr Gandecha & Partner,Cossington Park Surgery,Belgrave Medical Centre,TADDINGTON ROAD SURGERY"
Zeals,"The Armada Family Practice,Oldland Surgery,Hillview Family Practice,Hartwood Healthcare,The Hadleigh Lodge Practice,The Magna Medical Centre,Downton Surgery,West Moors Village Surgery,West Moors Village Surgery,Axbridge Surgery"
Zouch,"Woodville Surgery,Sherwood Rise Medical Centre,Horizon Healthcare,Old Station Surgery,The Medical Centre (Irfan),Fosse Medical Centre (Dr H Mukadam),Bakersfield Medical Centre,Hockley Farm Med Pract (A Nana),Churchfields Medical Practice,Newbold Verdon Med.Pract."
Zeals,"Avon Valley Practice,Hanham Health,Grange Road Surgery,The Hadleigh Practice,The Harvey Practice,Barton House Med Practice,Ammonite Health Partnership (Tunnel Road),Priory Surgery,The Crest Family Practice,The Merrywood Practice"
Zouch,"Desford Medical Centre,WILSON STREET SURGERY,The Lanes Medical Centre,Sherrington Park Medical Practice,Lime Tree Surgery,Macklin Street Surgery,Leicester City Assist Practice,Inclusion Healthcare,Assarts Farm Medical Centre,Forest House Medical Ctr"
Zeals,"Orchid House Surgery,Penny's Hill Practice,The Lennard Surgery,Wells Road Surgery,The Adam Practice - Upton Surgery,Marksbury Road Surgery,Mendip Vale Medical Practice (Langford),The Barcellos Family Practice,St Leonards Surgery,The Creekmoor Surgery"
Zouch,"Heron GP Practice,Westend Medical Practice,South Wigston Asylum Service,Regency Road Surgery,Dr U K Roy,Highfields Medical Centre,Heron GP Practice,The Charnwood Practice,Welbeck Surgery,Measham Medical Unit"
Zeals,"The Barcellos Family Practice,Winscombe Surgery,The Malago Surgery,The Birchwood Practice,Gaywood House Surgery,Bedminster Family Practice,Bridge View Medical,Patford House Partnership,Northlands Surgery,Canford Heath Group Pract"
Zouch,"Friar Gate Surgery,Bowling Green Street Surgery,Derwent Medical Centre,Westcotes Gp Surgery (One),Westcotes GP Surgery (Two),Warren Lane Surgery,Dr S Shafi,Vernon Street Medical Ctr,Humberstone Medical Centre (IP Jones),Hilltop Surgery"
Zeals,"Ringwood Medical Centre,Oakdale Surgery,Long Ashton Surgery,Kinson Road Medical Centre,Northbourne Surgery,Shore Medical - Fernside Surgery,Cornerways Medical Centre,Kinson Road Practice,The Rosemary Health Ctr,The Adam Practice"
Zouch,"The Vernon Street Surgery,Spinney Hill Medical Centre,East Leicester Med Pract(S Longworth),DE Montfort Surgery,Kingsway Branch - Thorpe Astley,Trentside Medical Group,Johnson Medical Practice,Heartwood Medical Practice,Narborough Road Surgery,Community Health Centre (ZS Osama)"
Zouch,"Elmswood Surgery,Hollybrook Medical Centre,Radcliffe-on-Trent. Health Centre,Swadlincote Surgery,Hama Medical Centre,Jubilee Park Medical Partnership,Park House Medical Centre,Dr R Kapur & Partners,St Peter's Med Centre (Mansingh & Mehra),Shefa Medical Practice"
Zeals,"Talbot Medical Centre,Backwell Medical Centre,Winscombe and Banwell Family Practice,Mendip Vale Medical Practice (Congresbury),Evergreen Oak Surgery,Shore Medical,Shore Medical  - Heatherview Medical Centre,Shore Medical - Wessex Road Surgery,Moordown Medical Centre,Kennet & Avon Medical Partnership - Pewsey Surgery"
Zouch,"Cotmanhay Surgery,Hucknall Road Medical Centre,Walnut St Med Ctr,Victoria and Mapperley Practice (Mapperley Surgery),Highfields Surgery (R Wadhwa),East Park Medical Centre (RP Pandya),Merridale Medical Centre (Rp Tew),Brook Medical Centre,St Elizabeth's Medical Centre (Ja Wood),The Practice-Sayeed"
Zouch,"Llr Sas Provider,Tudor House Medical Practice,Willington Surgery,Parkside Medical Centre,Leen View Surgery,Westdale Lane Surgery,Cropwell Bishop Surgery,Al-Waqas Medical Centre,Newhall Surgery,West Oak Surgery"
Zeals,"James Fisher Medical Centre,Village Surgery,Student Medical Centre,Denmark Road Medical Centre,Mendip Vale Medical Practice (Yatton),The Banks And Bearwood Medical Centre,The Banks & Bearwood Medical Centre,St Albans Medical Centre,Brockway Medical Centre,Westbourne Medical Centre"
Zeals,"Tyntesfield Medical Group,St Albans Medical Centre,Woodlea House Surgery,Ammonite Health Partnership,St Leonard's Road Branch Surgery,Holdenhurst Site of Shelley Manor & Holdenhurst MC,St Paul's Hostel,Littledown Surgery,Boscombe & Springbourne Health Centre Walk in Service,Crescent Providence Surgery"
Zouch,"Unity Surgery,Willows Health,The Alice Medical Centre,Riverlyn Medical Centre,Plains View Surgery,Southglade Medical Practice,The Park Medical Practice,Long Clawson Medical Practice,Horizon Healthcare,Mickleover Surgery"
Zeals,"Oakridge Surgery,Shelley Manor Holdenhurst Medical Centre,Grove Surgery,Beaufort Road Surgery,Southbourne Practice,Burton Medical Centre,The Marine & Oakridge Partnership,Stour Surgery,Clevedon Medical Centre,Mendip Vale Medical Practice (Sunnyside)"
Zouch,"Victoria Park Health Centre,Back Lane Surgery,Gresleydale Healthcare Centre,WH Evington,Park Farm Medical Centre,Giltbrook Surgery,Horizon Healthcare,Park Lane Surgery,Kingsway Surgery,St Albans Medical Centre"
Zouch,"The Practice Nirmala ,Springfield Road Health Centre,Mickleover Medical Centre,Clarendon Park,Daybrook Medical Practice,Willowbrook Medical Centre,Aylestone Health Centre,Appletree Medical Practice - Little Eaton,Winshill,Newthorpe Medical Practice"
Zouch,"Queens Road Surgery,The Surgery @ Aylestone,Evington Surgery,Rise Park Surgery,Highcroft Surgery,Downing Drive Surgery (Ajj Bentley),Stenhouse Medical Centre,Eastwood Primary Care Centre,Saffron Group Practice,Church Walk Surgery"
Zeals,"The Barn Surgery,Christchurch Medical Practice,Farmhouse Surgery"
Zouch,"Park Surgery,KELVINGROVE MEDICAL CENTRE,Bushby Surgery,Enderby Medical Centre,Brooklyn Medical Practice,Saffron Health,Asquith Surgery,Arthur Medical Centre,The Ivy Medical Group,The Hedges Medical Centre (Sa Bailey)"
Zouch,"Pasley Road Health Centre,Sturdee Road Health and Wellbeing Centre,Bridge Surgery,Apple Tree Medical Practice,Latham House Medical Practice,Torkard Hill Medical Ctre,Wetmore Road Surgery,Stapenhill Medical Centre,Harborough Road Surgery,Appletree Medical Practice"
Zouch,"The Central Surgery,Stretton Branch Surgery ,The Om Surgery,Whyburn Medical Practice,Peel Croft,Belvoir Health Group,The Limes Medical Centre,Heath Lane Surgery,Oakenhall Medical Pract,Northfield Medical Centre"
Zouch,"Rosemead Drive Surgery,Severn Surgery,Wigston Central Surgery,King Street Surgery,South Wigston Health Ctr.,Bushloe Surgery,Hazelmere Medical Centre,The Croft Medical Centre,All Saints Surgery,Gordon Street Surgery"
Zouch,"Wellbrook Medical Centre,Carlton Street Surgery,Barwell & Hollycroft Medical Centres,East Bridgford Med Centre,The Surgery ( Ripley),Pine Close Surgery,The Calverton Practice,Ivy Grove Surgery,Church Farm Primary Care Centre,The Ivy Medical Group"
Zouch,"Trent Meadows,Whitemoor Medical Centre,The Old School Surgery,Jacksdale Medical Centre,Ripley Medical Centre,Countesthorpe Health Centre,Riversdale Surgery,The Billesdon Surgery,South Leicestershire Medical Group - Great Glen Surgery,Selston Surgery"
Zouch,"Gilchrist & Partners (Branch),Tutbury Health Centre,Dr DA Jones & Partners,The Orchard Med Practice,The Welby Practice (Waltham),Ashfield House (Annesley),Castle Mead Medical Centre,The Centre Surgery,Maples Family Med.Pract.,Hollycroft Medical Centre"
Zouch,"Station View Health Centre,Jessop Medical Practice,Brailsford & Hulland Medical Practice,Market Overton and Somerby Surgeries,The Burbage Surgery,Dr A L Jeffries-Beckley and Partners,Sharnford Surgery,Polesworth Surgery,The Atherstone Surgery,SOMERCOTES MEDICAL CENTRE"
Zouch,"Barton,Station Street Surgery,The Village Surgery,Tri-Links Medical Practice,St Nicolas Medical Centre,Family Medical Centre (Kirkby),Health Care Complex, Kirkby,Lowmoor Road Surgery,Kirkby Health Centre,Kirkby Community Primary Care Centre (3)"
Zouch,"South Leicestershire Medical Group - Fleckney Medical Centre,Fleckney Surgery,Dordon & Polesworth Group Practice,Stackyard and Woolsthorpe Surgery,The Welby Practice,Bottesford Baptist Church,Limes Medical Centre,Parkside Surgery,The Grange Medical Centre,The Village Surgery"
Zouch,"Abbey Medical Group,Stonydelph Medical Practice,Trinity Surgery,Dr Khare's Surgery,Stonydelph Medical Practice,Alrewas,Baddesley Ensor Health Centre,South Leicestershire Medical Group - Old School Surgery,Hulland Ward Medical Centre,South Leicestershire Medical Partnership"
Zouch,"Manor Court Surgery,Heathview Medical Practice,Crich Medical Practice (South Wingfield Surgery),Chapel End Surgery,Crich Medical Practice,Woodlands Medical Practice,Camp Hill Gp Led Health Centre,Queens Road Surgery,Chaucer Surgery,Red Roofs Surgery"
Zouch,"Chancery Lane Surgery,Riversley Road Surgery,Old Mill Surgery,Laurel House Surgery,The Aldergate Med.Pract.,Hollies Practice,Crown Medical Practice,Willowbrook Medical Practice ,King's Medical Centre,Dove River"
Zouch,"The Peel Medical Practice,Stockingford Medical Centre,Dr A L Jeffries-Beckley and Partners,Tri-Links Branch 1,Rainworth Health Centre,Wilnecote Surgery,Riverside Surgery,Brierley Park Medical Centre,Whitestone Surgery,Arbury Medical Centre"
Zouch,"Hill View Surgery,Wolvey Surgery,Farnsfield Surgery,Southwell Medical Centre,Galley Common Medical Centre,Yoxall,Oak Tree Lane Surgery,Hannage Brook Medical Centre,Laurel House Surgery (Fazeley Branch),Staffa Health - Stonebroom"
Zouch,"The Langton Medical Group Whittington Branch Surgery,Brierley Park Medical Centre - Skegby Site,Orchard Medical Practice,St Peters Medical Practice,The Holloway Surgery,Oakham Medical Practice,Millview Surgery,Pear Tree Surgery (Hurley Branch),Oakham School Sanatorium,Churchside Medical Practice"
Zouch,"Acorn Medical Practice,Roundwood Surgery,Rugby Road Surgery,Sandy Lane Surgery,Bulkington Surgery,Staffa Health,Forest Medical,The Wycliffe Medical Practice,The Masharani Practice,Market Overton & Somerby Surgeries"
Zouch,"Forest Town Branch,The Welby Practice (Harlaxton),Bedworth Health Centre,Bedworth Health Centre,Long Bennington Medical Centre,The Old Cole House Practice,Pear Tree Surgery,Bull Farm Branch of Oakwood Surgery,Woodlands Surgery,Spring Hill Medical Centre"
Zouch,"Staffa Health - Administration Hub,Sherwood Medical Partnership,Ashbourne Medical Practice,The Surgery Clifton Road,Oakwood Surgery,Bilsthorpe Surgery,The Westgate Practice,Swingbridge Surgery,The Gables Medicentre ,The Langton Medical Group"
Zouch,"St Luke’s Branch Surgery ,Balderton Surgery,Husbands Bosworth Medical Centre,Lombard Medical Centre,Fountain Medical Centre,Lime Grove Medical Centre,Barnby Gate Surgery,Longford Primary Care Centre,Windmill Surgery,Imperial Road Surgery"
Zouch,"Park Leys Medical Practice,The Uppingham Surgery,Market Harborough Med.Ctr,Mill View Surgery,Park Leys Medical Practice,Uppingham School,Holbrooks Health Team,The Westgate Practice  (Shenstone Branch),South Leicestershire Medical Group - Two Shires Surgery,Sutton Coldfield Group Practice - Falcon"
Zouch,"Ashfurlong Medical Centre,Sutton Coldfield Group Practice,Credas Medical,Credas Medical - Winster Medical Centre,Four Oaks Medical Centre,Hazelwood Group Practice,Sutton Coldfield Group Practice - Ley Hill ,Satis House,Ashfield Surgery,The Manor Practice"
Zouch,"Sutton Coldfield Group Practice - Vesey ,Green Lane Surgery,Arran Medical Centre,The Castle Practice,Chester Road Surgery,KINGSHURST MEDICAL PRACTICE,Parkfield Medical Centre,Eden Court Medical Practice,Croft Medical Centre,Shah Zaman Surgery"
Zouch,"The Hawthorns Surgery,Gretton Surgery,Sutton Road Surgery,Midlands Medical Partnership,Eaton Wood Medical Centre,The Harlequin Surgery,Bosworth Medical Group,Nsc Bosworth Hub,Schoolacre Road Surgery,Dr SN Clay and Partners"
Zouch,"Firs Surgery,Hodge Hill Family Practice,Collingham Medical Centre,The High Street Surgery,Church Road Surgery,Dr Sumira,Bucklands End Lane Surgery,Aspiro Healthcare Studfall Med Centre,Corby Urgent Care Centre,Chelmsley Lane Surgery"
Zouch,"Mirfield Surgery,Glebe Farm Road Surgery,Church Lane - Khan,Woodsend Medical Centre,Aspiro Healthcare,Lakeside Healthcare,Forest Gate Medical Centre,Kingsbury Road Medical Centre,The Poolway Medical Centre,Great Oakley Medical Centre"
Zouch,"Arran Medical Centre Branch Surgery,Sheldon Surgery,Downsfield Medical Centre,Ward End Medical Centre,Garretts Green Lane Surgery,The Sheldon Medical Centre,Pearl Medical Centre,Church Road Surgery,Cranes Park Road Surgery,Iridium Medical Practice, Richmond PCC"
Zouch,"Cotterils Lane Surgery,Coventry Road Practice,Fernbank Medical Practice,Hartington Surgery,Belchers Lane Surgery,Naseby Medical Centre,MANOR HOUSE LANE SURGERY,Rowlands Road Surgery,Hobmoor Road Surgery,The Swan Medical Centre"
Zouch,"Yardley Green Medical Centre,Omnia Practice,Hobs Moat Medical Centre,Richmond Medical Centre,Yardley Medical Centre,Aubrey Road Medical Centre,The Park Medical Centre,Dudley Park Medical Centre,Victoria Road Surgery,Acocks Green Medical Centre"
